Date,FlowCFS
7/15/48,31
7/16/48,4.5
7/17/48,6.7
7/18/48,2.7
7/19/48,2.7
7/20/48,3.9
7/21/48,15
7/22/48,30
7/23/48,6.7
7/24/48,4.1
7/25/48,25
7/26/48,15
7/27/48,6.4
7/28/48,4.5
7/29/48,3.9
7/30/48,3.3
7/31/48,2.7
8/1/48,2.1
8/2/48,2.3
8/3/48,2.3
8/4/48,3.7
8/5/48,2.1
8/6/48,2.1
8/7/48,2.1
8/8/48,2.1
8/9/48,2
8/10/48,2.1
8/11/48,2.1
8/12/48,2.3
8/13/48,13
8/14/48,2.6
8/15/48,2.1
8/16/48,2.1
8/17/48,2.4
8/18/48,2.4
8/19/48,2.4
8/20/48,2.4
8/21/48,2.3
8/22/48,2.1
8/23/48,2.1
8/24/48,2.3
8/25/48,2.1
8/26/48,2.3
8/27/48,2.3
8/28/48,2.1
8/29/48,2.4
8/30/48,3.1
8/31/48,2.1
9/1/48,2.4
9/2/48,2.4
9/3/48,2.4
9/4/48,2.3
9/5/48,4.1
9/6/48,4.3
9/7/48,3.1
9/8/48,12
9/9/48,2.4
9/10/48,2.1
9/11/48,2.1
9/12/48,2.3
9/13/48,2.1
9/14/48,2.3
9/15/48,2.1
9/16/48,2.3
9/17/48,2.3
9/18/48,2.3
9/19/48,2
9/20/48,28
9/21/48,9.1
9/22/48,2.6
9/23/48,2.4
9/24/48,2
9/25/48,1.8
9/26/48,1.5
9/27/48,1.4
9/28/48,2.1
9/29/48,10
9/30/48,2.9
10/1/48,2
10/2/48,1.7
10/3/48,1.5
10/4/48,1.5
10/5/48,1.7
10/6/48,1.7
10/7/48,2.7
10/8/48,1.7
10/9/48,1.6
10/10/48,1.6
10/11/48,3.6
10/12/48,1.5
10/13/48,1.5
10/14/48,1.5
10/15/48,1.6
10/16/48,11
10/17/48,2.9
10/18/48,2.6
10/19/48,2.6
10/20/48,2.4
10/21/48,2.4
10/22/48,2.1
10/23/48,2.1
10/24/48,1.8
10/25/48,1.8
10/26/48,1.7
10/27/48,1.5
10/28/48,1.3
10/29/48,1.4
10/30/48,1.4
10/31/48,1.5
11/1/48,1.4
11/2/48,3.9
11/3/48,2.4
11/4/48,1.4
11/5/48,12
11/6/48,2.3
11/7/48,1.8
11/8/48,1.6
11/9/48,6.7
11/10/48,2.1
11/11/48,1.3
11/12/48,1.5
11/13/48,1.7
11/14/48,1.1
11/15/48,1.1
11/16/48,4.6
11/17/48,2.6
11/18/48,2
11/19/48,2.4
11/20/48,2.6
11/21/48,2.3
11/22/48,2
11/23/48,2.6
11/24/48,2.3
11/25/48,2.3
11/26/48,2.3
11/27/48,2.3
11/28/48,2.1
11/29/48,1.8
11/30/48,1.8
12/1/48,2
12/2/48,2
12/3/48,2
12/4/48,1.8
12/5/48,15
12/6/48,5.2
12/7/48,2.7
12/8/48,2.1
12/9/48,2
12/10/48,1.8
12/11/48,2
12/12/48,2.4
12/13/48,2.1
12/14/48,8.3
12/15/48,13
12/16/48,4
12/17/48,2
12/18/48,2
12/19/48,2
12/20/48,2
12/21/48,1.9
12/22/48,1.8
12/23/48,1.8
12/24/48,1.8
12/25/48,1.7
12/26/48,1.7
12/27/48,1.7
12/28/48,10
12/29/48,6
12/30/48,4
12/31/48,3
1/1/49,3
1/2/49,3
1/3/49,3
1/4/49,70
1/5/49,45
1/6/49,10
1/7/49,7
1/8/49,4.7
1/9/49,3.7
1/10/49,21
1/11/49,13
1/12/49,8.7
1/13/49,6.4
1/14/49,5.2
1/15/49,5.2
1/16/49,5.7
1/17/49,4.7
1/18/49,47
1/19/49,17
1/20/49,10
1/21/49,7.9
1/22/49,6.1
1/23/49,23
1/24/49,10
1/25/49,7.5
1/26/49,11
1/27/49,38
1/28/49,18
1/29/49,9.8
1/30/49,7.5
1/31/49,6.7
2/1/49,6.1
2/2/49,5.2
2/3/49,6.1
2/4/49,5.4
2/5/49,4
2/6/49,3.7
2/7/49,3.7
2/8/49,4.7
2/9/49,4
2/10/49,4
2/11/49,3.5
2/12/49,3.7
2/13/49,4.7
2/14/49,51
2/15/49,37
2/16/49,13
2/17/49,9.4
2/18/49,8.3
2/19/49,7.9
2/20/49,6.7
