Date,FlowCFS,StageFT
1/1/12,2.45,10.27
1/2/12,1.8,10.21
1/3/12,1.83,10.21
1/4/12,1.88,10.21
1/5/12,1.62,10.19
1/6/12,1.57,10.19
1/7/12,1.45,10.18
1/8/12,1.44,10.17
1/9/12,1.46,10.18
1/10/12,1.42,10.17
1/11/12,1.69,10.2
1/12/12,1.49,10.18
1/13/12,1.33,10.16
1/14/12,1.37,10.17
1/15/12,1.48,10.18
1/16/12,3.01,10.35
1/17/12,36.7,11.16
1/18/12,4.01,10.45
1/19/12,3.28,10.36
1/20/12,2.85,10.3
1/21/12,2.75,10.29
1/22/12,15.2,10.52
1/23/12,19.9,10.98
1/24/12,4.38,10.49
1/25/12,5.06,10.54
1/26/12,15.8,11.12
1/27/12,6.3,10.68
1/28/12,5.36,10.58
1/29/12,4,10.45
1/30/12,3.58,10.4
1/31/12,3.32,10.37
2/1/12,3.05,10.33
2/2/12,2.85,10.3
2/3/12,2.73,10.29
2/4/12,9.24,10.84
2/5/12,3.39,10.37
2/6/12,3.03,10.33
2/7/12,2.85,10.3
2/8/12,3.04,10.33
2/9/12,2.74,10.29
2/10/12,3.09,10.33
2/11/12,2.52,10.25
2/12/12,2.42,10.24
2/13/12,2.44,10.24
2/14/12,3.58,10.39
2/15/12,2.63,10.27
2/16/12,6.27,10.56
2/17/12,2.62,10.27
2/18/12,2.5,10.25
2/19/12,2.4,10.24
2/20/12,2.35,10.23
2/21/12,3.62,10.38
2/22/12,2.44,10.24
2/23/12,2.48,10.25
2/24/12,2.24,10.22
2/25/12,2.08,10.2
2/26/12,1.97,10.2
2/27/12,1.86,10.19
2/28/12,2.68,10.27
2/29/12,3.44,10.35
3/1/12,1.94,10.19
3/2/12,10.9,10.57
3/3/12,2.52,10.25
3/4/12,2.32,10.22
3/5/12,2.33,10.23
3/6/12,2.23,10.21
3/7/12,2.09,10.2
3/8/12,3.3,10.35
3/9/12,1.99,10.2
3/10/12,1.9,10.19
3/11/12,1.88,10.19
3/12/12,2.97,10.31
3/13/12,1.91,10.19
3/14/12,1.78,10.18
3/15/12,1.87,10.19
3/16/12,1.64,10.17
3/17/12,2.88,10.28
3/18/12,2.78,10.28
3/19/12,2.06,10.21
3/20/12,2.06,10.21
3/21/12,2.01,10.2
3/22/12,2.09,10.21
3/23/12,15.1,10.62
3/24/12,2.9,10.31
3/25/12,2.16,10.22
3/26/12,1.97,10.2
3/27/12,2,10.2
3/28/12,2.01,10.2
3/29/12,2.08,10.21
3/30/12,2.08,10.21
3/31/12,1.89,10.19
4/1/12,8.05,10.58
4/2/12,2.27,10.23
4/3/12,2.16,10.22
4/4/12,2.06,10.2
4/5/12,2.39,10.23
4/6/12,1.87,10.19
4/7/12,2.11,10.2
4/8/12,2.14,10.21
4/9/12,2.27,10.22
4/10/12,2.32,10.22
4/11/12,2.3,10.22
4/12/12,2.39,10.24
4/13/12,2.34,10.24
4/14/12,6.52,10.59
4/15/12,4.7,10.37
4/16/12,12.6,10.66
4/17/12,2.65,10.28
4/18/12,2.62,10.27
4/19/12,2.63,10.27
4/20/12,4.06,10.43
4/21/12,2.72,10.28
4/22/12,2.72,10.29
4/23/12,2.82,10.3
4/24/12,2.7,10.31
4/25/12,2.6,10.3
4/26/12,2.5,10.28
4/27/12,2.4,10.27
4/28/12,2.5,10.3
4/29/12,3.4,10.39
4/30/12,21,10.93
5/1/12,34.7,11.1
5/2/12,4.9,10.52
5/3/12,3.2,10.35
5/4/12,3.02,10.33
5/5/12,2.94,10.31
5/6/12,2.85,10.3
5/7/12,14.9,10.74
5/8/12,3.2,10.31
5/9/12,3,10.3
5/10/12,2.9,10.29
5/11/12,2.8,10.28
5/12/12,2.7,10.29
5/13/12,2.6,10.29
5/14/12,2.5,10.3
5/15/12,2.4,10.3
5/16/12,2.3,10.3
5/17/12,2.2,10.3
5/18/12,2.3,10.3
5/19/12,2.2,10.3
5/20/12,10.2,10.53
5/21/12,4.74,10.43
5/22/12,2.5,10.29
5/23/12,2.4,10.28
5/24/12,2.3,10.28
5/25/12,2.2,10.27
5/26/12,2.1,10.28
5/27/12,2.1,10.28
5/28/12,4.12,10.31
5/29/12,9.75,10.54
5/30/12,2.3,10.22
5/31/12,8.5,10.55
6/1/12,3.15,10.28
6/2/12,3.87,10.33
6/3/12,2.77,10.23
6/4/12,3.27,10.3
6/5/12,2.93,10.25
6/6/12,2.7,10.24
6/7/12,2.6,10.23
6/8/12,2.5,10.23
6/9/12,2.4,10.22
6/10/12,2.3,10.22
6/11/12,14.5,10.6
6/12/12,2.53,10.21
6/13/12,1.91,10.15
6/14/12,1.81,10.15
6/15/12,1.63,10.12
6/16/12,8.79,10.26
6/17/12,8.2,10.52
6/18/12,1.43,10.14
6/19/12,4.86,10.6
6/20/12,1.46,10.13
6/21/12,1.32,10.1
6/22/12,1.23,10.08
6/23/12,1.12,10.07
6/24/12,1.07,10.07
6/25/12,1.16,10.08
6/26/12,1.05,10.06
6/27/12,1.03,10.06
6/28/12,1.1,10.07
6/29/12,1.24,10.09
6/30/12,1.88,10.19
7/1/12,1.22,10.11
7/2/12,0.95,10.06
7/3/12,1.15,10.08
7/4/12,1.32,10.1
7/5/12,1.1,10.08
7/6/12,1.33,10.11
7/7/12,1.45,10.11
7/8/12,3.9,10.3
7/9/12,1.38,10.12
7/10/12,1.1,10.08
7/11/12,1.1,10.1
7/12/12,1.08,10.1
7/13/12,1.1,10.1
7/14/12,3.7,10.35
7/15/12,1.2,10.1
7/16/12,1.1,10.09
7/17/12,2.52,10.26
7/18/12,1.2,10.11
7/19/12,1.1,10.11
7/20/12,1.2,10.13
7/21/12,1.1,10.13
7/22/12,1,10.13
7/23/12,1,10.14
7/24/12,0.93,10.15
7/25/12,0.93,10.16
7/26/12,1.1,10.17
7/27/12,1.33,10.18
7/28/12,1.33,10.16
7/29/12,1.19,10.16
7/30/12,1.37,10.18
7/31/12,1.17,10.19
8/1/12,1.3,10.19
8/2/12,1.17,10.19
8/3/12,1.27,10.2
8/4/12,1.27,10.2
8/5/12,23.8,10.72
8/6/12,2.33,10.28
8/7/12,2.1,10.25
8/8/12,1.88,10.24
8/9/12,14.3,10.71
8/10/12,3,10.29
8/11/12,1.5,10.15
8/12/12,1.3,10.13
8/13/12,6.06,10.5
8/14/12,1.5,10.15
8/15/12,1.4,10.15
8/16/12,43.8,10.96
8/17/12,7.18,10.6
8/18/12,1.5,10.21
8/19/12,1.4,10.19
8/20/12,3.53,10.45
8/21/12,1.35,10.18
8/22/12,1.4,10.18
8/23/12,1.31,10.17
8/24/12,1.37,10.18
8/25/12,1.34,10.18
8/26/12,41.8,10.84
8/27/12,18.4,10.95
8/28/12,4.72,10.52
8/29/12,2.16,10.24
8/30/12,1.89,10.23
8/31/12,1.79,10.22
9/1/12,87.5,11.79
9/2/12,20.8,11.05
9/3/12,8.77,10.82
9/4/12,6.3,10.66
9/5/12,4.29,10.5
9/6/12,2.4,10.33
9/7/12,14.5,10.79
9/8/12,3.07,10.4
9/9/12,2.35,10.33
9/10/12,2.6,10.34
9/11/12,1.97,10.29
9/12/12,1.96,10.29
9/13/12,1.8,10.28
9/14/12,5.18,10.54
9/15/12,1.8,10.28
9/16/12,1.76,10.28
9/17/12,2.67,10.35
9/18/12,2.52,10.34
9/19/12,1.87,10.28
9/20/12,1.82,10.28
9/21/12,10.4,10.6
9/22/12,2.47,10.34
9/23/12,1.89,10.29
9/24/12,2.2,10.31
9/25/12,5.43,10.53
9/26/12,8.26,10.56
9/27/12,2.17,10.31
9/28/12,2.09,10.3
9/29/12,1.95,10.29
9/30/12,1.92,10.29
10/1/12,2.1,10.3
10/2/12,4.84,10.52
10/3/12,3.01,10.39
10/4/12,2.23,10.31
10/5/12,18.6,11.03
10/6/12,3.11,10.4
10/7/12,2.55,10.34
10/8/12,2.51,10.34
10/9/12,2.29,10.32
10/10/12,2.6,10.34
10/11/12,2.24,10.32
10/12/12,2.2,10.31
10/13/12,19.3,10.8
10/14/12,4.65,10.52
10/15/12,2.66,10.36
10/16/12,3.01,10.38
10/17/12,12.5,10.6
10/18/12,4.95,10.56
10/19/12,7.14,10.68
10/20/12,4.78,10.54
10/21/12,2.83,10.37
10/22/12,21,10.82
10/23/12,33.6,11.21
10/24/12,4.95,10.58
10/25/12,7.04,10.56
10/26/12,6.19,10.63
10/27/12,3.32,10.43
10/28/12,3.06,10.4
10/29/12,2.9,10.38
10/30/12,2.86,10.38
10/31/12,2.92,10.38
11/1/12,2.63,10.35
11/2/12,2.53,10.34
11/3/12,3.04,10.39
11/4/12,2.45,10.33
11/5/12,2.48,10.34
11/6/12,3.14,10.41
11/7/12,2.7,10.36
11/8/12,2.47,10.34
11/9/12,2.44,10.33
11/10/12,2.39,10.33
11/11/12,7.07,10.55
11/12/12,8.44,10.68
11/13/12,2.82,10.37
11/14/12,2.61,10.35
11/15/12,2.57,10.35
11/16/12,2.45,10.33
11/17/12,2.38,10.33
11/18/12,2.36,10.32
11/19/12,2.29,10.32
11/20/12,2.24,10.31
11/21/12,2.21,10.31
11/22/12,3.5,10.41
11/23/12,2.55,10.34
11/24/12,2.31,10.32
11/25/12,2.18,10.31
11/26/12,2.03,10.3
11/27/12,2.82,10.36
11/28/12,1.74,10.28
11/29/12,1.68,10.28
11/30/12,1.46,10.26
12/1/12,1.44,10.26
12/2/12,1.77,10.28
12/3/12,1.76,10.28
12/4/12,5.7,10.55
12/5/12,1.76,10.28
12/6/12,1.61,10.27
12/7/12,5.32,10.59
12/8/12,2.38,10.32
12/9/12,6.05,10.65
12/10/12,2.55,10.34
12/11/12,2.25,10.3
12/12/12,2.13,10.3
12/13/12,2.09,10.29
12/14/12,2.05,10.29
12/15/12,5.67,10.54
12/16/12,2.31,10.31
