date,flow_cfs
2016-09-17,7.54
2016-09-18,6.12
2016-09-19,5.5
2016-09-20,6.06
2016-09-21,7.11
2016-09-22,7.77
2016-09-23,10.9
2016-09-24,7.43
2016-09-25,5.78
2016-09-26,6.31
2016-09-27,4.58
2016-09-28,3.52
2016-09-29,2.9
2016-09-30,2.6
2016-10-01,2.81
2016-10-02,3.31
2016-10-03,3.85
2016-10-04,4.06
2016-10-05,4.6
2016-10-06,4.2
2016-10-07,4.81
2016-10-08,5.3
2016-10-09,4.08
2016-10-10,3.5
2016-10-11,4
2016-10-12,4.9
2016-10-13,7.09
2016-10-14,6.22
2016-10-15,5.85
2016-10-16,6.37
2016-10-17,5.17
2016-10-18,2.86
2016-10-19,8.09
2016-10-20,9.9
2016-10-21,7.11
2016-10-22,19.4
2016-10-23,13.6
2016-10-24,11.4
2016-10-25,9.4
2016-10-26,8.29
2016-10-27,9.41
2016-10-28,12.4
2016-10-29,7.05
2016-10-30,9.21
2016-10-31,9.1
2016-11-01,24
2016-11-02,7.55
2016-11-03,3.78
2016-11-04,2.91
2016-11-05,4.09
2016-11-06,34.6
2016-11-07,408
2016-11-08,182
2016-11-09,46.1
2016-11-10,21.5
2016-11-11,10.7
2016-11-12,6.03
2016-11-13,9.18
2016-11-14,4.73
2016-11-15,3.29
2016-11-16,2.6
2016-11-17,2.37
2016-11-18,3.08
2016-11-19,3.11
2016-11-20,3.32
2016-11-21,3.16
2016-11-22,3.33
2016-11-23,43.1
2016-11-24,3.61
2016-11-25,2.8
2016-11-26,4.13
2016-11-27,3.17
2016-11-28,3.15
2016-11-29,2.72
2016-11-30,7.3
2016-12-01,2.36
2016-12-02,2.5
2016-12-03,451
2016-12-04,645
2016-12-05,807
2016-12-06,784
2016-12-07,525
2016-12-08,249
2016-12-09,124
2016-12-10,70.6
2016-12-11,46.8
2016-12-12,34.6
2016-12-13,26.6
2016-12-14,23.1
2016-12-15,17.1
2016-12-16,14.1
2016-12-17,13.1
2016-12-18,10.6
2016-12-19,8.96
2016-12-20,9.64
2016-12-21,8.07
2016-12-22,8.32
2016-12-23,10.4
2016-12-24,12.8
2016-12-25,12.1
2016-12-26,13.3
2016-12-27,13.8
2016-12-28,16.1
2016-12-29,15.6
2016-12-30,12.7
2016-12-31,17.1
2017-01-01,15.2
2017-01-02,257
2017-01-03,391
2017-01-04,250
2017-01-05,86.7
2017-01-06,48.5
2017-01-07,33.7
2017-01-08,23.5
2017-01-09,20.8
2017-01-10,17.4
2017-01-11,14.8
2017-01-12,13.5
2017-01-13,12
2017-01-14,10
2017-01-15,10.4
2017-01-16,150
2017-01-17,329
2017-01-18,716
2017-01-19,881
2017-01-20,905
2017-01-21,895
2017-01-22,752
2017-01-23,547
2017-01-24,270
2017-01-25,148
2017-01-26,84.9
2017-01-27,54.2
2017-01-28,45.5
2017-01-29,36.3
2017-01-30,26.5
2017-01-31,20.1
2017-02-01,18.8
2017-02-02,17.8
2017-02-03,15.8
2017-02-04,13.3
2017-02-05,33.6
2017-02-06,30.2
2017-02-07,28.8
2017-02-08,28.8
2017-02-09,28.3
2017-02-10,27.4
2017-02-11,29.3
2017-02-12,32
2017-02-13,37
