Method,Year,Month,FlowCFS,SedimentTPD
USGS1,1949,10,12.783,29432
USGS1,1949,11,0,0
USGS1,1949,12,0,0
USGS1,1950,1,0,0
USGS1,1950,2,0,0
USGS1,1950,3,0,0
USGS1,1950,4,0.166666667,240
USGS1,1950,5,28,74440
USGS1,1950,6,82.30666667,200266
USGS1,1950,7,383.5806452,826647
USGS1,1950,8,80.98709677,118499
USGS1,1950,9,238.5266667,371813
USGS1,1950,10,2.203,1046
USGS1,1950,11,0,0
USGS1,1950,12,0,0
USGS1,1951,1,0.651612903,50
USGS1,1951,2,4.392857143,988
USGS1,1951,3,0.451612903,10
USGS1,1951,4,0,0
USGS1,1951,5,1328.709677,3534727
USGS1,1951,6,241.84,288017
USGS1,1951,7,13.89677419,11941
USGS1,1951,10,2.203225806,1046
USGS1,1951,11,0,0
USGS1,1951,12,0,0
TWDB,1964,10,19.9,2953
TWDB,1964,11,30.3,2233
TWDB,1964,12,5.91,465
TWDB,1965,1,1.77,5
TWDB,1965,2,1.87,7
TWDB,1965,3,0.835,2
TWDB,1965,4,21.7,64555
TWDB,1965,5,1.11,160
TWDB,1965,6,1445,5475621
TWDB,1965,7,39.8,23170
TWDB,1965,8,18.7,15037
TWDB,1965,9,113.3,301895
TWDB,1966,10,13.2,0
TWDB,1966,11,1.31,0
TWDB,1966,12,2.75,0
TWDB,1967,1,0.932,0
TWDB,1967,2,1.08,0
TWDB,1967,3,1.65,0
TWDB,1967,4,13.7,669
TWDB,1967,5,3.1,218
TWDB,1967,6,76.8,153300
TWDB,1967,7,201.9,440100
TWDB,1967,8,5.65,758
TWDB,1967,9,15.2,10780
TWDB,1967,10,10.8,731
TWDB,1967,11,0.837,0
TWDB,1967,12,1.16,0
TWDB,1968,1,8.35,333
TWDB,1968,2,1.65,0
TWDB,1968,3,2.14,0
TWDB,1968,4,6.21,417
TWDB,1968,5,143.1,281200
TWDB,1968,6,374.4,1011000
TWDB,1968,7,17.5,1650
TWDB,1968,8,1134,2533000
TWDB,1968,9,40.1,39970
TWDB,1968,10,8076,14690
TWDB,1968,11,7.57,4310
TWDB,1968,12,2.46,1
TWDB,1969,1,1.63,0
TWDB,1969,2,1.79,0
TWDB,1969,3,11.5,19280
TWDB,1969,4,0.023,0
TWDB,1969,5,308.5,770300
TWDB,1969,6,130.9,253100
TWDB,1969,7,11.9,11690
TWDB,1969,8,136.8,466400
TWDB,1969,9,149.1,219100
TWDB,1969,10,58.6,53830
TWDB,1969,11,18.8,6440
TWDB,1969,12,4.9,2930
TWDB,1970,1,1.08,0
TWDB,1970,2,1.11,0
TWDB,1970,3,1.03,0
TWDB,1970,4,157,800500
TWDB,1970,5,4.01,143
TWDB,1970,6,2.41,877
TWDB,1970,7,0.074,0
TWDB,1970,8,1.35,885
TWDB,1970,9,28.2,30720
TWDB,1970,10,0.1,0
TWDB,1970,11,1.1,941
TWDB,1970,12,0.238,1
TWDB,1971,1,0.208,1
TWDB,1971,2,1.14,3
TWDB,1971,3,0.244,0
TWDB,1971,4,0.019,0
TWDB,1971,5,9.65,7020
TWDB,1971,6,44.6,185100
TWDB,1971,7,8.23,22550
TWDB,1971,8,78,206900
TWDB,1971,9,228.8,506900
TWDB,1971,10,161.8,686500
TWDB,1971,11,45.9,140300
TWDB,1971,12,22.3,7650
TWDB,1972,1,1.11,0
TWDB,1972,2,0.289,0
TWDB,1972,3,0.104,0
TWDB,1972,4,0.056,0
TWDB,1972,5,106.4,359800
TWDB,1972,6,181.2,497500
TWDB,1972,7,330.7,614400
TWDB,1972,8,37.1,88280
TWDB,1972,9,20.9,58400
TWDB,1972,10,0.655,24
TWDB,1972,11,38,89830
TWDB,1972,12,0.918,13
TWDB,1973,1,2,320
TWDB,1973,2,0.331,5
TWDB,1973,3,199.2,411600
TWDB,1973,4,311,538400
TWDB,1973,5,115.4,310000
TWDB,1973,6,52.5,54710
TWDB,1973,7,59.4,118500
TWDB,1973,8,102.2,208500
TWDB,1973,9,279.6,682000
TWDB,1973,10,22.7,28410
TWDB,1973,11,0.838,0
TWDB,1973,12,0.597,0
TWDB,1974,1,1.12,0
TWDB,1974,2,0.818,0
TWDB,1974,3,25.1,56590
TWDB,1974,4,25,37810
TWDB,1974,5,536.2,1161000
TWDB,1974,6,78.7,132900
TWDB,1974,7,0.088,0
TWDB,1974,8,272.8,705800
TWDB,1974,9,156.5,172300
TWDB,1974,10,68.4,152500
TWDB,1974,11,43,27650
TWDB,1974,12,1.49,1
TWDB,1975,1,1.95,21
TWDB,1975,2,7.2,327
TWDB,1975,3,2.45,8
TWDB,1975,4,5.87,450
TWDB,1975,5,89.3,274500
TWDB,1975,6,457.4,1073000
TWDB,1975,7,126.1,89050
TWDB,1975,8,13.4,589
TWDB,1975,9,14.2,2130
USGS2,1979,2,6.69,83.92
USGS2,1979,3,75.3,108054.99
USGS2,1979,4,99.2,130637.9
USGS2,1979,5,22.6,20981
USGS2,1979,6,312.9,479749
USGS2,1979,7,150.5,291720
USGS2,1979,8,181.3,368787
USGS2,1979,9,7.78,7786
USGS2,1979,10,19,63759.2
USGS2,1979,11,0.151,1.9
USGS2,1979,12,0.64,3.58
USGS2,1980,1,1.42,5.44
USGS2,1980,2,1.04,11.61
USGS2,1980,3,0.817,6.73
USGS2,1980,4,7.02,42.09
USGS2,1980,5,86.3,83694.2
USGS2,1980,6,200.5,373035
USGS2,1980,7,0.171,11
USGS2,1980,8,0.13,623.87
USGS2,1980,9,16.5,6578.21
