year,deaths,vmt.bn,population
1979,6352,162,56246951
1980,5953,172,56314216
1981,5846,175,56333829
1982,5937,181,56313641
1983,5445,183,56332848
1984,5599,192,56422072
1985,5165,196,56550268
1986,5385,206,56681396
1987,5125,221,56802050
1988,5052,237,56928327
1989,5373,256,57076711
1990,5217,259,57247586
1991,4568,259,57424897
1992,4229,259,57580402
1993,3814,259,57718614
1994,3650,264,57865745
1995,3621,270,58019030
1996,3598,277,58166950
1997,3599,282,58316954
1998,3421,287,58487141
1999,3423,293,58682466
2000,3409,293,58892514
2001,3450,297,59107960
2002,3431,305,59325809
2003,3508,308,59566259
2004,3221,312,59867866
2005,3201,313,60224307
2006,3172,318,60595632
2007,2946,321,60986649
2008,2538,319,61393521
2009,2222,316,61811027
2010,1850,311,62262786
2011,1901,307,62744081
