year,RON97,RON98,RON95
1978,16.77,,
1979,22.66,,
1980,28.32,,
1981,34.29,,
1982,36.62,,
1983,39.28,,
1984,40.62,,
1985,43.14,,
1986,37.35,,
1987,37.9,,
1988,37.38,,
1989,40.39,,38.29
1990,44.87,,42.03
1991,48.48,47.31,45.07
1992,50.28,48.38,46.07
1993,54.12,52.91,49.44
1994,56.87,55.98,51.58
1995,59.7,58.55,53.77
1996,61.63,63.67,56.52
1997,67.22,71.31,61.82
1998,71.11,77.8,64.8
1999,77.2,82.92,70.16
2000,84.89,87.32,79.93
2001,79.71,82.74,75.72
2002,77.03,79.79,73.24
2003,79.94,81.36,76.04
2004,84.42,85.75,80.22
2005,,93.4,86.75
2006,,98.05,91.32
2007,,100.4,94.24
2008,,113.47,107.08
2009,,105.71,99.29
2010,,123.83,116.9
2011,,140.57,133.27
