year,deaths,vmt.bn,population
1976,45523,1402.38,218035164
1977,47878,1467.03,220239425
1978,50331,1544.7,222584545
1979,51093,1529.13,225055487
1980,51091,1527.3,227224681
1981,49301,1552.8,229465714
1982,43945,1595.01,231664458
1983,42589,1652.79,233791994
1984,44257,1720.27,235824902
1985,43825,1774.18,237923795
1986,46087,1834.87,240132887
1987,46390,1921.2,242288918
1988,47087,2025.96,244498982
1989,45582,2096.46,246819230
1990,44599,2144.36,249464396
1991,41508,2172.05,252153092
1992,39250,2247.15,255029699
1993,40150,2296.38,257782608
1994,40716,2358,260327021
1995,41817,2423,262803276
1996,42065,2486,265228572
1997,42013,2562,267783607
1998,41501,2632,270248003
1999,41717,2691,272690813
2000,41945,2747,282216952
2001,42196,2797,285226284
2002,43005,2856,288125973
2003,42884,2890,290796023
2004,42836,2965,293638158
2005,43510,2989,296507061
2006,42708,3014,299398484
2007,41259,3031,301139947
2008,37423,2977,303824640
2009,33883,2957,306700000
2010,32885,2967,308745538
2011,32367,2930,311591917
