year,unleaded_2005_dollars,unleaded_nominal
1976,1.729,0.614
1977,1.736,0.656
1978,1.657,0.67
1979,2.062,0.903
1980,2.605,1.245
1981,2.636,1.378
1982,2.337,1.296
1983,2.153,1.241
1984,2.026,1.212
1985,1.95,1.202
1986,1.472,0.927
1987,1.463,0.948
1988,1.411,0.946
1989,1.469,1.022
1990,1.611,1.164
1991,1.524,1.14
1992,1.471,1.127
1993,1.415,1.108
1994,1.391,1.112
1995,1.406,1.147
1996,1.48,1.231
1997,1.458,1.234
1998,1.237,1.059
1999,1.342,1.165
2000,1.702,1.51
2001,1.61,1.461
2002,1.473,1.358
2003,1.69,1.591
2004,1.942,1.88
2005,2.295,2.295
2006,2.508,2.589
2007,2.637,2.801
2008,3.008,3.266
2009,2.142,2.35
2010,2.512,2.788
2011,3.111,3.527
