HS_SIX	SCTG_TWO	SCTG_GROUP	NOTES
010121	01	01-05	
010129	01	01-05	
010130	01	01-05	
010190	01	01-05	
010221	01	01-05	
010229	01	01-05	
010231	01	01-05	
010239	01	01-05	
010290	01	01-05	
010310	01	01-05	
010391	01	01-05	
010392	01	01-05	
010410	01	01-05	
010420	01	01-05	
010511	01	01-05	
010512	01	01-05	
010513	01	01-05	
010514	01	01-05	
010515	01	01-05	
010594	01	01-05	
010599	01	01-05	
010611	01	01-05	
010612	01	01-05	
010613	01	01-05	
010614	01	01-05	
010619	01	01-05	
010620	01	01-05	
010631	01	01-05	
010632	01	01-05	
010633	01	01-05	
010639	01	01-05	
010641	01	01-05	
010649	01	01-05	
010690	01	01-05	
020110	05	01-05	
020120	05	01-05	
020130	05	01-05	
020210	05	01-05	
020220	05	01-05	
020230	05	01-05	
020311	05	01-05	
020312	05	01-05	
020319	05	01-05	
020321	05	01-05	
020322	05	01-05	
020329	05	01-05	
020410	05	01-05	
020421	05	01-05	
020422	05	01-05	
020423	05	01-05	
020430	05	01-05	
020441	05	01-05	
020442	05	01-05	
020443	05	01-05	
020450	05	01-05	
020500	05	01-05	
020610	05	01-05	
020621	05	01-05	
020622	05	01-05	
020629	05	01-05	
020630	05	01-05	
020641	05	01-05	
020649	05	01-05	
020680	05	01-05	
020690	05	01-05	
020711	05	01-05	
020712	05	01-05	
020713	05	01-05	
020714	05	01-05	
020724	05	01-05	
020725	05	01-05	
020726	05	01-05	
020727	05	01-05	
020741	05	01-05	
020742	05	01-05	
020743	05	01-05	
020744	05	01-05	
020745	05	01-05	
020751	05	01-05	
020752	05	01-05	
020753	05	01-05	
020754	05	01-05	
020755	05	01-05	
020760	05	01-05	
020810	05	01-05	
020830	05	01-05	
020840	05	01-05	
020850	05	01-05	
020860	05	01-05	
020890	05	01-05	
020910	05	01-05	
020990	05	01-05	
021011	05	01-05	
021012	05	01-05	
021019	05	01-05	
021020	05	01-05	
021091	05	01-05	
021092	05	01-05	
021093	05	01-05	
021099	05	01-05	
030111	01	01-05	
030119	01	01-05	
030191	01	01-05	
030192	01	01-05	
030193	01	01-05	
030194	01	01-05	
030195	01	01-05	
030199	01	01-05	
030211	05	01-05	
030213	05	01-05	
030214	05	01-05	
030219	05	01-05	
030221	05	01-05	
030222	05	01-05	
030223	05	01-05	
030224	05	01-05	
030229	05	01-05	
030231	05	01-05	
030232	05	01-05	
030233	05	01-05	
030234	05	01-05	
030235	05	01-05	
030236	05	01-05	
030239	05	01-05	
030241	05	01-05	
030242	05	01-05	
030243	05	01-05	
030244	05	01-05	
030245	05	01-05	
030246	05	01-05	
030247	05	01-05	
030251	05	01-05	
030252	05	01-05	
030253	05	01-05	
030254	05	01-05	
030255	05	01-05	
030256	05	01-05	
030259	05	01-05	
030271	05	01-05	
030272	05	01-05	
030273	05	01-05	
030274	05	01-05	
030279	05	01-05	
030281	05	01-05	
030282	05	01-05	
