Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"Alcan, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",12071723,,,,,,
"Alcan, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",973517,,,,,,
"Alcan, AK (Port)",1006 Rice,46990,,,,,,
"Alcan, AK (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",58032,,,,,,
"Alcan, AK (Port)",2106 Food Preparations Nesoi,8273,,,,,,
"Anchorage, AK (Port)","0101 Horses, Asses, Mules And Hinnies, Live",10995,,,10995,10,,
"Anchorage, AK (Port)","0102 Bovine Animals, Live",20916,,,20916,2947,,
"Anchorage, AK (Port)","0103 Swine, Live",179400,,,179400,11870,,
"Anchorage, AK (Port)","0106 Animals, Live, Nesoi",11001,,,11001,34,,
"Anchorage, AK (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",3211714,,,3211714,205866,,
"Anchorage, AK (Port)","0202 Meat Of Bovine Animals, Frozen",48101,,,48101,4333,,
"Anchorage, AK (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1019017,,,1019017,226714,,
"Anchorage, AK (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",41312,,,41312,51792,,
"Anchorage, AK (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",102343,,,102343,128712,,
"Anchorage, AK (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",105151,36104,20425,69047,13395,36104,20425
"Anchorage, AK (Port)","0301 Fish, Live",342132,,,342132,89994,,
"Anchorage, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",55556813,24210161,10764380,9182079,2332078,236148,113575
"Anchorage, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",1000050617,999609617,390877852,56987,29245,175088706,57048644
"Anchorage, AK (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",623535448,623122533,235179471,387617,52900,49502158,23660041
"Anchorage, AK (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",38177423,34045605,18576900,4131818,303795,744522,399621
"Anchorage, AK (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,137721050,135365976,13870986,2355074,208273,44831994,5131046
"Anchorage, AK (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,7712477,80157,22461,7632320,614710,,
"Anchorage, AK (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,3176305,,,3176305,98957,,
"Anchorage, AK (Port)","0401 Milk And Cream, Not Concentrated Or Sweetened",26044,,,26044,13290,,
"Anchorage, AK (Port)","0402 Milk And Cream, Concentrated Or Sweetened",6965,,,6965,3368,,
"Anchorage, AK (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",82524,,,82524,4501,,
"Anchorage, AK (Port)",0406 Cheese And Curd,113705,,,113705,38311,,
"Anchorage, AK (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",15630,,,15630,478,,
"Anchorage, AK (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",8000,,,8000,5172,,
"Anchorage, AK (Port)","0409 Honey, Natural",7931,,,7931,3685,,
"Anchorage, AK (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",34199,,,34199,1287,,
"Anchorage, AK (Port)",0502 Hogs' Hair Etc; Badger Hair Etc; Waste Hair Etc.,26968,,,26968,479,,
"Anchorage, AK (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",26865,26865,9154,,,,
"Anchorage, AK (Port)",0505 Bird Skins & Other Feathered Parts And Down,3040,,,3040,12,,
"Anchorage, AK (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",9048,,,9048,29832,,
"Anchorage, AK (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",95092,,,78400,542,,
"Anchorage, AK (Port)","0510 Ambergris, Castoreum Etc; Glands Etc For Pharmacy",21000,,,21000,1060,,
"Anchorage, AK (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",7327338,6165074,11827094,1162264,72046,552380,1213975
"Anchorage, AK (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",117458,,,117458,4610,,
"Anchorage, AK (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",17816,,,17816,2900,,
"Anchorage, AK (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",40021,,,40021,10575,,
"Anchorage, AK (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",9560,9560,22902,,,,
"Anchorage, AK (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",57771,7035,4445,50736,53235,,
"Anchorage, AK (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",9100,9100,16511,,,,
"Anchorage, AK (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",6040,,,6040,1655,,
"Anchorage, AK (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",68717,6493,9843,62224,16090,,
"Anchorage, AK (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",12150,,,12150,8692,,
"Anchorage, AK (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",75185,,,75185,9399,,
"Anchorage, AK (Port)","0713 Leguminous Vegetables, Dried Shelled",2520,,,2520,4032,,
"Anchorage, AK (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",3120,,,3120,1239,,
"Anchorage, AK (Port)","0805 Citrus Fruit, Fresh Or Dried",6010,,,6010,4492,,
"Anchorage, AK (Port)","0806 Grapes, Fresh Or Dried",104288,,,104288,8847,,
"Anchorage, AK (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",6754754,,,6754754,1048131,,
"Anchorage, AK (Port)","0810 Fruit Nesoi, Fresh",1970771,,,1970771,212807,,
"Anchorage, AK (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",31872,,,31872,5837,,
"Anchorage, AK (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,25800,,,25800,18559,,
"Anchorage, AK (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",12000,,,12000,12604,,
"Anchorage, AK (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,18890,,,18890,608,,
"Anchorage, AK (Port)","0902 Tea, Whether Or Not Flavored",38305,,,38305,10886,,
"Anchorage, AK (Port)","0908 Nutmeg, Mace And Cardamoms",20818,,,20818,7927,,
"Anchorage, AK (Port)",1006 Rice,13628,,,13628,7149,,
"Anchorage, AK (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",24466,,,24466,35010,,
"Anchorage, AK (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",25620,,,25620,22042,,
"Anchorage, AK (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),5400,,,5400,1769,,
"Anchorage, AK (Port)","1209 Seeds, Fruit And Spores, For Sowing",3371734,,,3371734,7302,,
"Anchorage, AK (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",33479,,,33479,7279,,
"Anchorage, AK (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",5151608,,,5151608,43078,,
"Anchorage, AK (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",18200,,,18200,2430,,
"Anchorage, AK (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",29990,,,29990,6647,,
"Anchorage, AK (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,790161,,,790161,33029,,
"Anchorage, AK (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",12053,,,12053,26719,,
"Anchorage, AK (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",11631656,10893644,7135937,738012,21376,409414,382955
"Anchorage, AK (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,3929,,,3929,1194,,
"Anchorage, AK (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",8228,2775,433,5453,841,,
"Anchorage, AK (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",4434,,,4434,396,,
"Anchorage, AK (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",57944,,,57944,19909,,
"Anchorage, AK (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",285745,203697,149240,82048,4429,203697,149240
"Anchorage, AK (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,30431,,,30431,12865,,
"Anchorage, AK (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",55563,,,55563,13455,,
"Anchorage, AK (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",910388,910388,604586,,,,
"Anchorage, AK (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,28203,,,28203,8336,,
"Anchorage, AK (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",1785505,1785505,278695,,,537953,135571
"Anchorage, AK (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",21821,,,21821,33643,,
"Anchorage, AK (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",38185,,,38185,14975,,
"Anchorage, AK (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",45276,,,45276,15806,,
"Anchorage, AK (Port)",1806 Chocolate & Other Food Products Containing Cocoa,252804,,,252804,76206,,
"Anchorage, AK (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,907309,,,907309,149923,,
"Anchorage, AK (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",4318,,,4318,2175,,
"Anchorage, AK (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",279708,,,279708,72825,,
"Anchorage, AK (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",12400,,,12400,17145,,
"Anchorage, AK (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",23406,,,23406,23561,,
"Anchorage, AK (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",9422,,,9422,6294,,
"Anchorage, AK (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",32539,,,32539,14418,,
"Anchorage, AK (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,114338,,,114338,58425,,
"Anchorage, AK (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",241510,,,241510,20739,,
"Anchorage, AK (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,102324,,,102324,14130,,
"Anchorage, AK (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",72294,,,72294,14637,,
"Anchorage, AK (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",4450,,,4450,3464,,
