Port,Commodity,Customs Value (Gen) ($US),Vessel Customs Value (Gen) ($US),Vessel SWT (Gen) (kg),Air Customs Value (Gen) ($US),Air SWT (Gen) (kg),Customs Containerized Vessel Value (Gen) ($US),Containerized Vessel SWT (Gen) (kg)
"Alcan, AK (Port)","0102 Bovine Animals, Live",32000,,,,,,
"Alcan, AK (Port)","0103 Swine, Live",133738,,,,,,
"Alcan, AK (Port)","0410 Edible Products Of Animal Origin, Nesoi",9108,,,,,,
"Alcan, AK (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",27891,,,,,,
"Alcan, AK (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",358594,,,,,,
"Alcan, AK (Port)","1209 Seeds, Fruit And Spores, For Sowing",2325,,,,,,
"Alcan, AK (Port)","1214 Rutabagas, Hay, Clover & Other Forage Products",39557,,,,,,
"Alcan, AK (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",30303,,,,,,
"Alcan, AK (Port)",2309 Preparations Used In Animal Feeding,10800,,,,,,
"Anchorage, AK (Port)","0106 Animals, Live, Nesoi",5120,,,5120,3,,
"Anchorage, AK (Port)","0301 Fish, Live",97955,,,97955,10596,,
"Anchorage, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",1629757,1629757,139155,,,,
"Anchorage, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",2468,2468,525,,,2468,525
"Anchorage, AK (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,4834670,4834670,1868446,,,1216368,439911
"Anchorage, AK (Port)","0410 Edible Products Of Animal Origin, Nesoi",6000,,,6000,18,,
"Anchorage, AK (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",96747,,,96747,175,,
"Anchorage, AK (Port)",0502 Hogs' Hair Etc; Badger Hair Etc; Waste Hair Etc.,348573,,,348573,7486,,
"Anchorage, AK (Port)",0505 Bird Skins & Other Feathered Parts And Down,5675,,,5675,27,,
"Anchorage, AK (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",594831,490729,259598,104102,7820,135370,74907
"Anchorage, AK (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",18929,,,18929,360,,
