port,geo_county,geo_lat,geo_lon
"Port Aberdeen-Hoquiam, WA",Grays Harbor County,46.9678284,-123.8459739
"Port Aguadilla, PR",,18.4953957,-67.1355779
"Port Alameda, CA",Alameda County,37.7956123,-122.2791662
"Port Albany, NY",Albany County,42.6263032,-73.7580336
"Port Albuquerque, NM",Bernalillo County,35.0817626,-106.7345152
"Port Alcan, AK",Southeast Fairbanks,62.6584334,-141.131215
"Port Alexandria Bay, NY",Jefferson County,44.2970513,-75.975928
"Port Algonac, MI",St Clair County,42.6130715,-82.5458297
"Port Allentown, PA",Lehigh County,40.6139036,-75.4537958
"Port Alpena, MI",Alpena County,45.05948,-83.4302844
"Port Amarillo, TX",Potter County,35.1933101,-101.9127663
"Port Ambrose, ND",Divide County,48.9977702,-103.4872681
"Port Anacortes, WA",Skagit County,48.521744,-122.612822
"Port Anchorage, AK",Anchorage,61.2402778,-149.8861111
"Port Annapolis, MD",Anne Arundel County,38.9635969,-76.478751
"Port Antler, ND",Bottineau County,48.9984673,-101.298785
"Port Astoria, OR",Clatsop County,46.1897701,-123.8572519
"Port Atlanta, GA",Clayton County,33.639692,-84.3976466
"Port Atlantic City User Fee Airport, NJ",Atlantic County,39.4557779,-74.5725117
"Port Austin, TX",Travis County,30.2021489,-97.666829
"Port Avondale, LA",St Charles Parish,29.971767,-90.2823726
"Port Baltimore, MD",,39.2860063,-76.609661
"Port Baltimore-Washington International Airport, MD",Anne Arundel County,39.1774042,-76.6683922
"Port Bangor, ME",Penobscot County,44.8069263,-68.823274
"Port Bar Harbor, ME",Hancock County,44.41361,-68.24611
"Port Baton Rouge, LA",West Baton Rouge Parish,30.4346355,-91.2014966
"Port Battle Creek, MI",Calhoun County,42.3393947,-85.2768713
"Port Baudette, MN",,48.7176199,-94.5942192
"Port Beaufort-Morehead City, NC",Carteret County,34.7171727,-76.6650988
"Port Beaumont, TX",Jefferson County,30.0793963,-94.0923294
"Port Beecher Falls, VT",Essex County,45.012768,-71.5061018
"Port Belfast, ME",Waldo County,44.418767,-69.023522
"Port Bellingham, WA",Whatcom County,48.7574951,-122.4953805
"Port Blaine, WA",Whatcom County,48.994467,-122.759004
"Port Boise, ID",Ada County,43.6116897,-116.2878962
"Port Boston, MA",Suffolk County,42.343651,-71.033022
"Port Boundary, WA",Stevens County,48.998753,-117.6289533
"Port Bridgeport, CT",Fairfield County,41.1750046,-73.1856273
"Port Bridgewater, ME",Aroostook County,46.4502092,-67.7861707
"Port Brownsville, TX",Cameron County,25.9508669,-97.4109459
"Port Brunswick, GA",Glynn County,31.131813,-81.5368539
"Port Buffalo-Niagara Falls, NY",Niagara County,43.130626,-79.041359
"Port Burlington, VT",Chittenden County,44.474218,-73.221388
"Port Butte, MT",Silver Bow County,46.0010698,-112.6711893
"Port Calais, ME",,45.1613254,-67.2990189
"Port Calexico, CA",Imperial County,32.6651897,-115.496081
"Port Calexico-East, CA",Imperial County,32.6655684,-115.499288
"Port Camden, NJ",Camden County,39.9376731,-75.1292216
"Port Cape Vincent, NY",Jefferson County,44.1289552,-76.3381761
"Port Carbury, ND",Bottineau County,48.9976327,-100.5562352
"Port Champlain-Rouses Point, NY",Clinton County,45.0009143,-73.3677438
"Port Charleston, SC",Charleston County,32.7708321,-79.8968733
"Port Charlotte Amalie, VI",Water Island,18.3384508,-64.9397081
"Port Charlotte, NC",Mecklenburg County,35.2717325,-80.9094967
"Port Chester, PA",Delaware County,39.8524144,-75.3419458
"Port Chicago, IL",Cook County,41.7287385,-87.5334615
"Port Christiansted, VI",,17.7469291,-64.7075146
"Port Cincinnati-Lawrenceburg, OH",Hamilton County,39.099814,-84.511977
"Port Cleveland, OH",Cuyahoga County,41.5014293,-81.7028655
"Port Columbia, SC",Lexington County,33.944432,-81.1095231
"Port Columbus, NM",,31.7844155,-107.6276544
"Port Columbus, OH",Franklin County,39.9999399,-82.8871767
"Port Coos Bay, OR",Coos County,43.367748,-124.213429
"Port Coral Bay, VI",Cruz Bay,18.3320603,-64.7945631
"Port Corpus Christi, TX",Nueces County,27.8039563,-97.3932329
"Port Crockett, CA",Contra Costa County,38.0531281,-122.2252095
"Port Cruz Bay, VI",Cruz Bay,18.3320603,-64.7945631
"Port Dallas Love Field, Dallas, TX",Dallas County,32.8481029,-96.8512063
"Port Dallas-Fort Worth, TX",Dallas County,32.910676,-97.0094811
"Port Dalton Cache, AK",,59.4503047,-136.3612427
"Port Danville, WA",Ferry County,48.9999383,-118.5035294
"Port Dayton, OH",Montgomery County,39.7550722,-84.1854037
"Port Del Bonita, MT",Division No. 3,48.9987334,-112.7879394
"Port Del Rio, TX",Val Verde County,29.3340299,-100.9180082
"Port Denver, CO",Denver County,39.7577895,-104.9861127
"Port Derby Line, VT",Orleans County,45.0045056,-72.0892837
"Port Des Moines, IA",Polk County,41.5341333,-93.6587958
"Port Detour City, MI",NoData,45.9969445,-83.8994445
"Port Detroit Metropolitan Airport, MI",Wayne County,42.2161722,-83.3553842
"Port Detroit, MI",Wayne County,42.327535,-83.0412827
"Port Douglas, AZ",Cochise County,31.384423,-109.516895
"Port Duluth, MN - Superior, WI",St Louis County,46.7572947,-92.1017691
"Port Dunseith, ND",Rolette County,48.9983331,-100.0522981
"Port Durham, NC",Wake County,35.8768885,-78.7926863
"Port Eagle Pass, TX",Maverick County,28.705596,-100.5061141
"Port Eastport, ID",Boundary County,49.0001318,-116.1815088
"Port Eastport, ME",Washington County,44.9076241,-66.984036
