port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,geo_county,geo_lat,geo_lon,fcc_county,fcc_fips,join_STATEFP,join_COUNTYFP,join_COUNTYNS,join_AFFGEOID,join_GEOID,join_NAME,join_LSAD,join_ALAND,join_AWATER,distance
"Aberdeen-Hoquiam, WA",,,,,774724,,,,,855835,495880116,61668446,18466,13455,307481,,Grays Harbor County,46.9678284,-123.8459739,Grays Harbor,53027,53,027,01531823,0500000US53027,53027,Grays Harbor,06,4924343587,834767915,0
"Aguadilla, PR",,,737641,36104,115758,,196206,,,,,,,,21940,35417,,18.4953957,-67.1355779,Aguadilla,72005,72,005,01804482,0500000US72005,72005,Aguadilla,13,94613891,101131781,0
"Alameda, CA",,,,,66780,,,,4243,,42886,,,,,,Alameda County,37.7956123,-122.2791662,Alameda,6001,06,001,01675839,0500000US06001,06001,Alameda,06,1914242789,212979931,0
"Albany, NY",,,473,,,,1396324,,,28916517,,,,,117060,,Albany County,42.6263032,-73.7580336,Albany,36001,36,001,00974099,0500000US36001,36001,Albany,06,1354083641,27161700,0
"Albuquerque, NM",,,11155,,,,,,,,,,,,,,Bernalillo County,35.0817626,-106.7345152,Bernalillo,35001,35,001,01702363,0500000US35001,35001,Bernalillo,06,-1287888508,16475147,0
"Alcan, AK",165738,,400476,38691,,,39411,,,46990,,,13045240,,66305,,Southeast Fairbanks,62.6584334,-141.131215,Southeast Fairbanks,2240,02,240,01419983,0500000US02240,02240,Southeast Fairbanks,05,64147813224,752268780,0
"Alexandria Bay, NY",91880958,1936978,29194415,4272175,9277996,75668533,175473391,20823321,16473975,462122,143918539,17282739,41259514,58472957,165302935,56560625,Jefferson County,44.2970513,-75.975928,Jefferson,36045,36,045,00974121,0500000US36045,36045,Jefferson,06,-1009054452,1524622410,0
"Algonac, MI",,,,,,,,,,,35629,,100205,,,,St Clair County,42.6130715,-82.5458297,St. Clair,26147,26,147,01625033,0500000US26147,26147,St. Clair,06,1867861159,298681155,0
"Allentown, PA",,,,,,,,,,,,95314,,,41683,,Lehigh County,40.6139036,-75.4537958,Lehigh,42077,42,077,01209182,0500000US42077,42077,Lehigh,06,894010231,7898582,0
"Alpena, MI",,,,,,,,,,,,61284,,,,,Alpena County,45.05948,-83.4302844,Alpena,26007,26,007,01622946,0500000US26007,26007,Alpena,06,1481125303,-1386252748,0
"Amarillo, TX",,,,,,,,,2605,,,,,,,,Potter County,35.1933101,-101.9127663,Potter,48375,48,375,01383973,0500000US48375,48375,Potter,06,-1942215423,35190086,0
"Ambrose, ND",,,,,,,,,,18538,64242,48835,127946,,13432,,Divide County,48.9977702,-103.4872681,Divide,38023,38,023,01034234,0500000US38023,38023,Divide,06,-1029652246,86629398,0
"Anacortes, WA",,,,,,,91986,,,,3622,,304140,31597,,,Skagit County,48.521744,-122.612822,Skagit,53057,53,057,01531402,0500000US53057,53057,Skagit,06,4481039429,484059449,0
"Anchorage, AK",5120,,3957438,3467457,6572887,60024,11263952,161194,222312,13628,18869226,75294300,1873579562,1241421,21024010,2650857,Anchorage,61.2402778,-149.8861111,Anchorage,2020,02,020,01416061,0500000US02020,02020,Anchorage,12,4420091935,663038187,0
"Annapolis, MD",,,,30051,,,120043,62438,,,,,,,,,Anne Arundel County,38.9635969,-76.478751,Anne Arundel,24003,24,003,01710958,0500000US24003,24003,Anne Arundel,06,1074553083,447833714,0
"Antler, ND",,2246755,2437226,,,,,,,,56296,24099,,,,,Bottineau County,48.9984673,-101.298785,Bottineau,38009,38,009,01034227,0500000US38009,38009,Bottineau,06,4321179405,74882085,0
"Astoria, OR",,,,,,,98871,,,29871,550647,,930499,243582,,,Clatsop County,46.1897701,-123.8572519,Clatsop,41007,41,007,01135846,0500000US41007,41007,Clatsop,06,2145196270,661305228,0.000746859731175197
"Atlanta, GA",4524717,,36744847,17498888,47224376,421635,19463036,2093410,53102196,193195,8563421,11000980,10886019,808221,53058649,1453062,Clayton County,33.639692,-84.3976466,Clayton,13063,13,063,01672399,0500000US13063,13063,Clayton,06,366862137,7057627,0
"Atlantic City User Fee Airport, NJ",,,,,,,,,,,,,,,462827,,Atlantic County,39.4557779,-74.5725117,Atlantic,34001,34,001,00882270,0500000US34001,34001,Atlantic,06,1438982575,301062742,0
"Austin, TX",,,6993,13498,,,19683,,,,11509,3396,40188,3015,9451,,Travis County,30.2021489,-97.666829,Travis,48453,48,453,01384012,0500000US48453,48453,Travis,06,-1726236299,80934469,0
"Avondale, LA",,,,,,,,,,,,,,,13265452,,St Charles Parish,29.971767,-90.2823726,St. Charles,22089,22,089,01629449,0500000US22089,22089,St. Charles,15,719296011,308712052,0
"Baltimore, MD",,35172248,741666705,28758630,254539833,46370531,823719541,427001055,,2571089,31307655,22435978,74427784,19786436,93873038,14141006,,39.2860063,-76.609661,Baltimore,24510,24,510,01702381,0500000US24510,24510,Baltimore,25,209643557,28767622,0
"Baltimore-Washington International Airport, MD",5390,,124675,103958,420049,7000,69495,,27730,,6687,,347301,,401273,,Anne Arundel County,39.1774042,-76.6683922,Anne Arundel,24003,24,003,01710958,0500000US24003,24003,Anne Arundel,06,1074553083,447833714,0
"Bangor, ME",,,,,,,,,,,41799,,13701,85598,48183,30555,Penobscot County,44.8069263,-68.823274,Penobscot,23019,23,019,00581295,0500000US23019,23019,Penobscot,06,8798667306,414015520,0
"Bar Harbor, ME",,,,,,,,,,,,,,14753,,,Hancock County,44.41361,-68.24611,Hancock,23009,23,009,00581290,0500000US23009,23009,Hancock,06,-184682349,1963056832,0
"Baton Rouge, LA",,,12802,,,,10613190,27600,,265962672,72422066,466851196,,,2727710,,West Baton Rouge Parish,30.4346355,-91.2014966,West Baton Rouge,22121,22,121,00559570,0500000US22121,22121,West Baton Rouge,15,498293891,29602238,0
"Battle Creek, MI",,,,,,,,,,,67151,,86896,13878,120713,,Calhoun County,42.3393947,-85.2768713,Calhoun,26025,26,025,01622955,0500000US26025,26025,Calhoun,06,1829249870,31275675,0
"Baudette, MN",,,,,,,,73838,,,211134,64033,13648194,125304,409060,220793,,48.7176199,-94.5942192,Lake of the Woods,27077,27,077,00659483,0500000US27077,27077,Lake of the Woods,06,-933504898,1234896316,0
"Beaufort-Morehead City, NC",,,965204,,,,,,,,,,,,34595,,Carteret County,34.7171727,-76.6650988,Carteret,37031,37,031,01026337,0500000US37031,37031,Carteret,06,1314749437,2131001181,0
"Beaumont, TX",,,,,,,,26585,,295176467,,,,,,,Jefferson County,30.0793963,-94.0923294,Jefferson,48245,48,245,01383908,0500000US48245,48245,Jefferson,06,-2025335880,612122543,0
"Beecher Falls, VT",,,880477,,,,7174,,,,26774,,4274,,6741,,Essex County,45.012768,-71.5061018,Essex,50009,50,009,01461761,0500000US50009,50009,Essex,06,1718726095,28674612,0
"Belfast, ME",,,,,,,,,,13091,8629,,,,,,Waldo County,44.418767,-69.023522,Waldo,23027,23,027,00581299,0500000US23027,23027,Waldo,06,1890504131,318127014,0
"Bellingham, WA",,,8716,5072684,4930075,,,,,186849,3597999,3680012,53609517,523884,498400,731875,Whatcom County,48.7574951,-122.4953805,Whatcom,53073,53,073,01529224,0500000US53073,53073,Whatcom,06,5459395531,1028184731,0
"Blaine, WA",609570,26060239,317327397,299163468,525253797,191269956,326945050,21928199,8851499,27082716,1012538734,65768276,657351635,207567661,470778904,252921569,Whatcom County,48.994467,-122.759004,Whatcom,53073,53,073,01529224,0500000US53073,53073,Whatcom,06,5459395531,1028184731,0
"Boise, ID",,,,,,,,,,,,,,,24740,,Ada County,43.6116897,-116.2878962,Ada,16001,16,001,00395066,0500000US16001,16001,Ada,06,-1568955093,20852173,0
"Boston, MA",,1749740,10283353,18832252,594292820,14417729,179856500,487797106,,113014,1638012,83795338,91244318,2297101,20948231,465541,Suffolk County,42.343651,-71.033022,Suffolk,25025,25,025,00606939,0500000US25025,25025,Suffolk,06,150865086,160470296,0
"Boundary, WA",,,,,,,,,,2665,10104,3873,,,7595,,Stevens County,48.998753,-117.6289533,Stevens,53065,53,065,01531930,0500000US53065,53065,Stevens,06,6416413110,163008888,0
"Bridgeport, CT",,,7855,,,,,,,,,,,,,,Fairfield County,41.1750046,-73.1856273,Fairfield,9001,09,001,00212794,0500000US09001,09001,Fairfield,06,1618664453,549280549,0
"Bridgewater, ME",,200180,546731,,,,9301435,,,289649,1058748,,147826,103323,21273676,,Aroostook County,46.4502092,-67.7861707,Aroostook,23003,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178,0
"Brownsville, TX",445013,,31549345,9539836,15678902,17526,189839423,151189,4451623,10825865,383664267,26627296,11045927,7517831,120169539,15590173,Cameron County,25.9508669,-97.4109459,Cameron,48061,48,061,01383816,0500000US48061,48061,Cameron,06,-1987076237,998035120,0
"Brunswick, GA",,23578448,1369235,,2325,,,32933,,2064741,13867270,274674979,538455,6528950,,,Glynn County,31.131813,-81.5368539,Glynn,13127,13,127,01671513,0500000US13127,13127,Glynn,06,1087272602,428512266,0
