port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county_geocoder,latitude,longitude,ll_county,county,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
"Aberdeen-Hoquiam, WA",,,,,774724,,,,,855835,495880116,61668446,18466,13455,307481,,Grays Harbor County,46.96783,-123.84597,Grays Harbor,Grays Harbor,53,027,01531823,0500000US53027,53027,Grays Harbor,06,4924343587,834767915
"Aguadilla, PR",,,737641,36104,115758,,196206,,,,,,,,21940,35417,,18.49540,-67.13558,Aguadilla,Aguadilla,72,005,01804482,0500000US72005,72005,Aguadilla,13,94613891,101131781
"Alameda, CA",,,,,66780,,,,4243,,42886,,,,,,Alameda County,37.79561,-122.27917,Alameda,Alameda,06,001,01675839,0500000US06001,06001,Alameda,06,1914242789,212979931
"Albany, NY",,,473,,,,1396324,,,28916517,,,,,117060,,Albany County,42.62630,-73.75803,Albany,Albany,36,001,00974099,0500000US36001,36001,Albany,06,1354083641,27161700
"Albuquerque, NM",,,11155,,,,,,,,,,,,,,Bernalillo County,35.08176,-106.73452,Bernalillo,Bernalillo,35,001,01702363,0500000US35001,35001,Bernalillo,06,-1287888508,16475147
"Alcan, AK",165738,,400476,38691,,,39411,,,46990,,,13045240,,66305,,Southeast Fairbanks,62.65843,-141.13121,Southeast Fairbanks,Southeast Fairbanks,02,240,01419983,0500000US02240,02240,Southeast Fairbanks,05,64147813224,752268780
"Alexandria Bay, NY",91880958,1936978,29194415,4272175,9277996,75668533,175473391,20823321,16473975,462122,143918539,17282739,41259514,58472957,165302935,56560625,Jefferson County,44.29705,-75.97593,Jefferson,Jefferson,36,045,00974121,0500000US36045,36045,Jefferson,06,-1009054452,1524622410
"Algonac, MI",,,,,,,,,,,35629,,100205,,,,St Clair County,42.61307,-82.54583,St. Clair,St. Clair,26,147,01625033,0500000US26147,26147,St. Clair,06,1867861159,298681155
"Allentown, PA",,,,,,,,,,,,95314,,,41683,,Lehigh County,40.61390,-75.45380,Lehigh,Lehigh,42,077,01209182,0500000US42077,42077,Lehigh,06,894010231,7898582
"Alpena, MI",,,,,,,,,,,,61284,,,,,Alpena County,45.05948,-83.43028,Alpena,Alpena,26,007,01622946,0500000US26007,26007,Alpena,06,1481125303,-1386252748
"Amarillo, TX",,,,,,,,,2605,,,,,,,,Potter County,35.19331,-101.91277,Potter,Potter,48,375,01383973,0500000US48375,48375,Potter,06,-1942215423,35190086
"Ambrose, ND",,,,,,,,,,18538,64242,48835,127946,,13432,,Divide County,48.99777,-103.48727,Divide,Divide,38,023,01034234,0500000US38023,38023,Divide,06,-1029652246,86629398
"Anchorage, AK",5120,,3957438,3467457,6572887,60024,11263952,161194,222312,13628,18869226,75294300,1873579562,1241421,21024010,2650857,Anchorage,61.24028,-149.88611,Anchorage,Anchorage,02,020,01416061,0500000US02020,02020,Anchorage,12,4420091935,663038187
"Annapolis, MD",,,,30051,,,120043,62438,,,,,,,,,Anne Arundel County,38.96360,-76.47875,Anne Arundel,Anne Arundel,24,003,01710958,0500000US24003,24003,Anne Arundel,06,1074553083,447833714
"Antler, ND",,2246755,2437226,,,,,,,,56296,24099,,,,,Bottineau County,48.99847,-101.29878,Bottineau,Bottineau,38,009,01034227,0500000US38009,38009,Bottineau,06,4321179405,74882085
"Astoria, OR",,,,,,,98871,,,29871,550647,,930499,243582,,,Clatsop County,46.18977,-123.85725,Clatsop,Clatsop,41,007,01135846,0500000US41007,41007,Clatsop,06,2145196270,661305228
"Atlanta, GA",4524717,,36744847,17498888,47224376,421635,19463036,2093410,53102196,193195,8563421,11000980,10886019,808221,53058649,1453062,Clayton County,33.63969,-84.39765,Clayton,Clayton,13,063,01672399,0500000US13063,13063,Clayton,06,366862137,7057627
"Atlantic City User Fee Airport, NJ",,,,,,,,,,,,,,,462827,,Atlantic County,39.45578,-74.57251,Atlantic,Atlantic,34,001,00882270,0500000US34001,34001,Atlantic,06,1438982575,301062742
"Austin, TX",,,6993,13498,,,19683,,,,11509,3396,40188,3015,9451,,Travis County,30.20215,-97.66683,Travis,Travis,48,453,01384012,0500000US48453,48453,Travis,06,-1726236299,80934469
"Avondale, LA",,,,,,,,,,,,,,,13265452,,St Charles Parish,29.97177,-90.28237,St. Charles,St. Charles,22,089,01629449,0500000US22089,22089,St. Charles,15,719296011,308712052
"Baltimore, MD",,35172248,741666705,28758630,254539833,46370531,823719541,427001055,,2571089,31307655,22435978,74427784,19786436,93873038,14141006,,39.28601,-76.60966,Baltimore,Baltimore,24,510,01702381,0500000US24510,24510,Baltimore,25,209643557,28767622
