port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county,latitude,longitude,ll_county
"Aberdeen-Hoquiam, WA",,,,,774724.0,,,,,855835.0,495880116.0,61668446.0,18466.0,13455.0,307481.0,,Grays Harbor County,46.96782839999999,-123.8459739,Grays Harbor
"Aguadilla, PR",,,737641.0,36104.0,115758.0,,196206.0,,,,,,,,21940.0,35417.0,,18.4953957,-67.1355779,Aguadilla
"Alameda, CA",,,,,66780.0,,,,4243.0,,42886.0,,,,,,Alameda County,37.79561229999999,-122.2791662,Alameda
"Albany, NY",,,473.0,,,,1396324.0,,,28916517.0,,,,,117060.0,,Albany County,42.6263032,-73.75803359999999,Albany
"Albuquerque, NM",,,11155.0,,,,,,,,,,,,,,Bernalillo County,35.0817626,-106.7345152,Bernalillo
"Alcan, AK",165738.0,,400476.0,38691.0,,,39411.0,,,46990.0,,,13045240.0,,66305.0,,Southeast Fairbanks,62.6584334,-141.131215,Southeast Fairbanks
"Alexandria Bay, NY",91880958.0,1936978.0,29194415.0,4272175.0,9277996.0,75668533.0,175473391.0,20823321.0,16473975.0,462122.0,143918539.0,17282739.0,41259514.0,58472957.0,165302935.0,56560625.0,Jefferson County,44.2970513,-75.975928,Jefferson
"Algonac, MI",,,,,,,,,,,35629.0,,100205.0,,,,St Clair County,42.6130715,-82.5458297,St. Clair
"Allentown, PA",,,,,,,,,,,,95314.0,,,41683.0,,Lehigh County,40.6139036,-75.4537958,Lehigh
"Alpena, MI",,,,,,,,,,,,61284.0,,,,,Alpena County,45.05948,-83.43028439999999,Alpena
"Amarillo, TX",,,,,,,,,2605.0,,,,,,,,Potter County,35.1933101,-101.9127663,Potter
"Ambrose, ND",,,,,,,,,,18538.0,64242.0,48835.0,127946.0,,13432.0,,Divide County,48.9977702,-103.4872681,Divide
"Anacortes, WA",,,,,,,91986.0,,,,3622.0,,304140.0,31597.0,,,Skagit County,48.521744,-122.612822,Skagit
"Anchorage, AK",5120.0,,3957438.0,3467457.0,6572887.0,60024.0,11263952.0,161194.0,222312.0,13628.0,18869226.0,75294300.0,1873579562.0,1241421.0,21024010.0,2650857.0,Anchorage,61.24027779999999,-149.8861111,Anchorage
"Annapolis, MD",,,,30051.0,,,120043.0,62438.0,,,,,,,,,Anne Arundel County,38.9635969,-76.478751,Anne Arundel
"Antler, ND",,2246755.0,2437226.0,,,,,,,,56296.0,24099.0,,,,,Bottineau County,48.99846729999999,-101.298785,Bottineau
"Astoria, OR",,,,,,,98871.0,,,29871.0,550647.0,,930499.0,243582.0,,,Clatsop County,46.1897701,-123.8572519,Clatsop
"Atlanta, GA",4524717.0,,36744847.0,17498888.0,47224376.0,421635.0,19463036.0,2093410.0,53102196.0,193195.0,8563421.0,11000980.0,10886019.0,808221.0,53058649.0,1453062.0,Clayton County,33.639692,-84.39764660000002,Clayton
"Atlantic City User Fee Airport, NJ",,,,,,,,,,,,,,,462827.0,,Atlantic County,39.4557779,-74.57251169999999,Atlantic
"Austin, TX",,,6993.0,13498.0,,,19683.0,,,,11509.0,3396.0,40188.0,3015.0,9451.0,,Travis County,30.2021489,-97.66682899999999,Travis
"Avondale, LA",,,,,,,,,,,,,,,13265452.0,,St Charles Parish,29.971767,-90.28237260000002,St. Charles
