port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county_geocoder,latitude,longitude,ll_county,county
"Aberdeen-Hoquiam, WA",,,,,774724,,,,,855835,495880116,61668446,18466,13455,307481,,Grays Harbor County,46.9678284,-123.8459739,Grays Harbor,Grays Harbor
"Aguadilla, PR",,,737641,36104,115758,,196206,,,,,,,,21940,35417,,18.4953957,-67.1355779,Aguadilla,Aguadilla
"Alameda, CA",,,,,66780,,,,4243,,42886,,,,,,Alameda County,37.7956123,-122.2791662,Alameda,Alameda
"Albany, NY",,,473,,,,1396324,,,28916517,,,,,117060,,Albany County,42.6263032,-73.7580336,Albany,Albany
"Albuquerque, NM",,,11155,,,,,,,,,,,,,,Bernalillo County,35.0817626,-106.7345152,Bernalillo,Bernalillo
"Alcan, AK",165738,,400476,38691,,,39411,,,46990,,,13045240,,66305,,Southeast Fairbanks,62.6584334,-141.131215,Southeast Fairbanks,Southeast Fairbanks
"Alexandria Bay, NY",91880958,1936978,29194415,4272175,9277996,75668533,175473391,20823321,16473975,462122,143918539,17282739,41259514,58472957,165302935,56560625,Jefferson County,44.2970513,-75.975928,Jefferson,Jefferson
"Algonac, MI",,,,,,,,,,,35629,,100205,,,,St Clair County,42.6130715,-82.5458297,St. Clair,St. Clair
"Allentown, PA",,,,,,,,,,,,95314,,,41683,,Lehigh County,40.6139036,-75.4537958,Lehigh,Lehigh
"Alpena, MI",,,,,,,,,,,,61284,,,,,Alpena County,45.05948,-83.4302844,Alpena,Alpena
"Amarillo, TX",,,,,,,,,2605,,,,,,,,Potter County,35.1933101,-101.9127663,Potter,Potter
"Ambrose, ND",,,,,,,,,,18538,64242,48835,127946,,13432,,Divide County,48.9977702,-103.4872681,Divide,Divide
"Anacortes, WA",,,,,,,91986,,,,3622,,304140,31597,,,Skagit County,48.521744,-122.612822,Skagit,Skagit
"Anchorage, AK",5120,,3957438,3467457,6572887,60024,11263952,161194,222312,13628,18869226,75294300,1873579562,1241421,21024010,2650857,Anchorage,61.2402778,-149.8861111,Anchorage,Anchorage
"Annapolis, MD",,,,30051,,,120043,62438,,,,,,,,,Anne Arundel County,38.9635969,-76.478751,Anne Arundel,Anne Arundel
"Antler, ND",,2246755,2437226,,,,,,,,56296,24099,,,,,Bottineau County,48.9984673,-101.298785,Bottineau,Bottineau
"Astoria, OR",,,,,,,98871,,,29871,550647,,930499,243582,,,Clatsop County,46.1897701,-123.8572519,Clatsop,Clatsop
"Atlanta, GA",4524717,,36744847,17498888,47224376,421635,19463036,2093410,53102196,193195,8563421,11000980,10886019,808221,53058649,1453062,Clayton County,33.639692,-84.3976466,Clayton,Clayton
"Atlantic City User Fee Airport, NJ",,,,,,,,,,,,,,,462827,,Atlantic County,39.4557779,-74.5725117,Atlantic,Atlantic
"Austin, TX",,,6993,13498,,,19683,,,,11509,3396,40188,3015,9451,,Travis County,30.2021489,-97.666829,Travis,Travis
"Avondale, LA",,,,,,,,,,,,,,,13265452,,St Charles Parish,29.971767,-90.2823726,St. Charles,St. Charles
"Baltimore, MD",,35172248,741666705,28758630,254539833,46370531,823719541,427001055,,2571089,31307655,22435978,74427784,19786436,93873038,14141006,,39.2860063,-76.609661,Baltimore,Baltimore
"Baltimore-Washington International Airport, MD",5390,,124675,103958,420049,7000,69495,,27730,,6687,,347301,,401273,,Anne Arundel County,39.1774042,-76.6683922,Anne Arundel,Anne Arundel
"Bangor, ME",,,,,,,,,,,41799,,13701,85598,48183,30555,Penobscot County,44.8069263,-68.823274,Penobscot,Penobscot
"Bar Harbor, ME",,,,,,,,,,,,,,14753,,,Hancock County,44.41361,-68.24611,Hancock,Hancock
"Baton Rouge, LA",,,12802,,,,10613190,27600,,265962672,72422066,466851196,,,2727710,,West Baton Rouge Parish,30.4346355,-91.2014966,West Baton Rouge,West Baton Rouge
"Battle Creek, MI",,,,,,,,,,,67151,,86896,13878,120713,,Calhoun County,42.3393947,-85.2768713,Calhoun,Calhoun
"Baudette, MN",,,,,,,,73838,,,211134,64033,13648194,125304,409060,220793,,48.7176199,-94.5942192,Lake of the Woods,Lake of the Woods
"Beaufort-Morehead City, NC",,,965204,,,,,,,,,,,,34595,,Carteret County,34.7171727,-76.6650988,Carteret,Carteret
"Beaumont, TX",,,,,,,,26585,,295176467,,,,,,,Jefferson County,30.0793963,-94.0923294,Jefferson,Jefferson
"Beecher Falls, VT",,,880477,,,,7174,,,,26774,,4274,,6741,,Essex County,45.012768,-71.5061018,Essex,Essex
"Belfast, ME",,,,,,,,,,13091,8629,,,,,,Waldo County,44.418767,-69.023522,Waldo,Waldo
"Bellingham, WA",,,8716,5072684,4930075,,,,,186849,3597999,3680012,53609517,523884,498400,731875,Whatcom County,48.7574951,-122.4953805,Whatcom,Whatcom
"Blaine, WA",609570,26060239,317327397,299163468,525253797,191269956,326945050,21928199,8851499,27082716,1012538734,65768276,657351635,207567661,470778904,252921569,Whatcom County,48.994467,-122.759004,Whatcom,Whatcom
"Boise, ID",,,,,,,,,,,,,,,24740,,Ada County,43.6116897,-116.2878962,Ada,Ada
"Boston, MA",,1749740,10283353,18832252,594292820,14417729,179856500,487797106,,113014,1638012,83795338,91244318,2297101,20948231,465541,Suffolk County,42.343651,-71.033022,Suffolk,Suffolk
"Boundary, WA",,,,,,,,,,2665,10104,3873,,,7595,,Stevens County,48.998753,-117.6289533,Stevens,Stevens
"Bridgeport, CT",,,7855,,,,,,,,,,,,,,Fairfield County,41.1750046,-73.1856273,Fairfield,Fairfield
"Bridgewater, ME",,200180,546731,,,,9301435,,,289649,1058748,,147826,103323,21273676,,Aroostook County,46.4502092,-67.7861707,Aroostook,Aroostook
"Brownsville, TX",445013,,31549345,9539836,15678902,17526,189839423,151189,4451623,10825865,383664267,26627296,11045927,7517831,120169539,15590173,Cameron County,25.9508669,-97.4109459,Cameron,Cameron
"Brunswick, GA",,23578448,1369235,,2325,,,32933,,2064741,13867270,274674979,538455,6528950,,,Glynn County,31.131813,-81.5368539,Glynn,Glynn
"Buffalo-Niagara Falls, NY",76755248,91101613,726354465,253875804,423029349,886986120,974321777,127189948,19372657,9682290,1079155274,192998464,363916937,408963254,1212037235,277323424,Niagara County,43.130626,-79.041359,Niagara,Niagara
"Burlington, VT",,,,,,,,,,,69485,,,,265450,4504,Chittenden County,44.474218,-73.221388,Chittenden,Chittenden
"Butte, MT",,,,,,,,,,,,,,,25820,9539,Silver Bow County,46.0010698,-112.6711893,Silver Bow,Silver Bow
"Calais, ME",160446,,43721271,29341727,767749695,2073396,51201075,14699491,300672,54353,54362664,10114957,178729165,2855670,26971886,3684693,,45.1613254,-67.2990189,Washington,Washington
"Calexico, CA",,,,,,,,,,37809122,24541087,6399046,19510363,2441670,23060690,12261840,Imperial County,32.6651897,-115.496081,Imperial,Imperial
"Calexico-East, CA",,6017302,357125253,3312540,168263916,191629679,169270621,63219540,12728,30270831,169937558,16590789,90860163,48029586,110861624,24890093,Imperial County,32.6655684,-115.499288,Imperial,Imperial
"Camden, NJ",,,,,,,28838,,,,2147156,,,87711,396867,,Camden County,39.9376731,-75.1292216,Camden,Camden
"Cape Vincent, NY",,,,,,,,,,,125923,79782,,9934,7211,,Jefferson County,44.1289552,-76.3381761,Jefferson,Jefferson
"Carbury, ND",,,1333539,,,,,,,,,5660,,104105,,,Bottineau County,48.9976327,-100.5562352,Bottineau,Bottineau
"Champlain-Rouses Point, NY",7686511,15521927,216693518,65397739,403431250,88639720,350224058,40351235,31345107,2545175,455575114,41988453,161140739,55327974,388795387,37663129,Clinton County,45.0009143,-73.3677438,Clinton,Clinton
"Charleston, SC",,18579721,803461034,117813852,40414873,58260367,232581751,216168713,1092905,3763263,415258000,111012879,340369689,58447425,229971607,424337326,Charleston County,32.7708321,-79.8968733,Charleston,Charleston
"Charlotte Amalie, VI",,,532681,,329823,199266,796651,15473115,,,,,,,99577,703618,Water Island,18.3384508,-64.9397081,St. Thomas,St. Thomas
"Charlotte, NC",4400,,1223471,3744521,1210229,11962,730624,3616,,,2188221,329706,2952,26283,1502869,23341,Mecklenburg County,35.2717325,-80.9094967,Mecklenburg,Mecklenburg
"Chester, PA",,,140340540,6711249,3610151,17448380,251447580,21719868,38450090,1217140,979546,668915,39060,441552,35407887,640423,Delaware County,39.8524144,-75.3419458,Delaware,Delaware
"Chicago, IL",19289876,4592292,77341215,102538208,60236291,50695614,204203502,55829406,167562221,3428933,16185870,87615771,46550406,5734312,135903290,7083446,Cook County,41.7287385,-87.5334615,Cook,Cook
"Christiansted, VI",,,456726,,92654,124641,24382523,2927142,,,,,,,,109521,,17.7469291,-64.7075146,St. Croix,St. Croix
"Cincinnati-Lawrenceburg, OH",,3873,1007867,4030825,24611,94490,1035848,16462330,70581203,16400,394454,513957,,25927,2483538,652592,Hamilton County,39.099814,-84.511977,Hamilton,Hamilton
"Cleveland, OH",4395,250418,19510713,18967949,127167,133888,11420059,1308112,2409908,24816,31824866,9644438,793893,959008,10221149,3935174,Cuyahoga County,41.5014293,-81.7028655,Cuyahoga,Cuyahoga
"Columbia, SC",,,650,,,,6500,451279,,,,,,,,,Lexington County,33.944432,-81.1095231,Lexington,Lexington
"Columbus, NM",9676478,446102,36134242,,,97300,11330,,,,584660,93155,,,,,,31.7844155,-107.6276544,Luna,Luna
"Columbus, OH",,,156076,7698300,31248,93561,407010,19786,,,33434,8039,2759,,27493,,Franklin County,39.9999399,-82.8871767,Franklin,Franklin
"Coos Bay, OR",,,,,,,,,,,295136,,,,,46440,Coos County,43.367748,-124.213429,Coos,Coos
"Coral Bay, VI",,,,,,,,,,,11461,4564,26946,4838,19530,9854,Cruz Bay,18.3320603,-64.7945631,St. John,St. John
"Corpus Christi, TX",,,,,,,,,,577278176,247936212,,,,,,Nueces County,27.8039563,-97.3932329,Nueces,Nueces
"Crockett, CA",,,,,,,278454922,,,,,,,,,,Contra Costa County,38.0531281,-122.2252095,Contra Costa,Contra Costa
"Cruz Bay, VI",,,,,,,,,,,,,,2956,304251,3145669,Cruz Bay,18.3320603,-64.7945631,St. John,St. John
"Dallas Love Field, Dallas, TX",,,,,,,,,5200,,,,,,,,Dallas County,32.8481029,-96.8512063,Dallas,Dallas
"Dallas-Fort Worth, TX",740791,11385,9817748,27676024,21872756,123412,14915563,370626,2140208,42939,6702613,21157236,3201279,306124,13397895,1033052,Dallas County,32.910676,-97.0094811,Dallas,Dallas
"Dalton Cache, AK",,,5075,,180486,,,,,,,,4106,,,,,59.4503047,-136.3612427,,
"Danville, WA",,,,,,,,,,,24105,,,,,,Ferry County,48.9999383,-118.5035294,Ferry,Ferry
"Dayton, OH",1852019,,,,,,,,1477300,,,,,,270833,,Montgomery County,39.7550722,-84.1854037,Montgomery,Montgomery
"Del Bonita, MT",,76401,22461,,,,,,14598,,3879619,17654,,,3264,,Division No. 3,48.9987334,-112.7879394,,
"Del Rio, TX",36216787,,3247537,66964,,,367648,,137489,430903,7224099,3052951,225136,108802,99548,46986,Val Verde County,29.3340299,-100.9180082,Val Verde,Val Verde
"Denver, CO",242699,,905134,286308,4099922,8169,3576436,201020,1911088,,2095431,688188,89031,9093,4105960,578015,Denver County,39.7577895,-104.9861127,Denver,Denver
"Derby Line, VT",965387,5220129,53356303,25297001,17985703,15125188,67704588,939101,307485,,3156055,1173078,1183619,591295,3833052,481567,Orleans County,45.0045056,-72.0892837,Orleans,Orleans
"Des Moines, IA",,,,,,,,,,,37416,,,,22438,,Polk County,41.5341333,-93.6587958,Polk,Polk
"Detour City, MI",,,,,,,,,,,60004,10000,,4564,30990,2897,NoData,NoData,NoData,NoData,Chippewa
"Detroit Metropolitan Airport, MI",4308133,272191,3557291,817316,495996,166970,1469872,59146,27976,34757,126867,34814,19723,19346,1588748,68675,Wayne County,42.2161722,-83.3553842,Wayne,Wayne
"Detroit, MI",86857278,147510020,789444354,129763579,557382783,993786508,1343874895,340648173,4498282,213627303,1909557149,361951685,1862832114,865898159,1449329356,327323454,Wayne County,42.327535,-83.0412827,Wayne,Wayne
"Douglas, AZ",65547817,,48514989,,,,313633,17371,306000,17380,96377198,1595164,39159,51545,614373,346363,Cochise County,31.384423,-109.516895,Cochise,Cochise
"Duluth, MN - Superior, WI",,,,,675360,,,,,157585078,33012069,22894800,,,,,St Louis County,46.7572947,-92.1017691,St. Louis,St. Louis
"Dunseith, ND",106722012,13593193,54582610,2551936,,1417823,1767125,,431436,13852297,22832275,15931201,13954,961487,1054732,116141,Rolette County,48.9983331,-100.0522981,Rolette,Rolette
"Durham, NC",,,173817,398135,617355,,2254301,116141,,,83768,40312,,,511152,,Wake County,35.8768885,-78.7926863,Wake,Wake
"Eagle Pass, TX",75591482,742407,32085348,15524330,,,186346806,1057730317,20141065,284871487,872095151,327032257,14309153,93042730,503943632,5639178,Maverick County,28.705596,-100.5061141,Maverick,Maverick
"Eastport, ID",335264087,58691939,32748143,279563305,27895249,41536190,279213064,5413066,2682017,1567370,200880302,6099831,3386431,36811764,86948580,63771169,Boundary County,49.0001318,-116.1815088,Boundary,Boundary
"Eastport, ME",,,,,3946795,,,,38311248,,13403,70968,40957565,10305,26660,,Washington County,44.9076241,-66.984036,Washington,Washington
"El Paso, TX",,141470,233170661,12192730,3862776,14043677,180318067,260662132,6508465,880023361,439916575,221455369,284084218,63736885,745490958,26559995,El Paso County,31.67214,-106.3353211,El Paso,El Paso
"El Segundo, CA",,,,,,,51816,,,,,585000,155597,16007,1214464,,Los Angeles County,33.8965571,-118.3925726,Los Angeles,Los Angeles
"Escanaba, MI",,,,,,,,8348,,,21242,,,32754,,,Delta County,45.7440779,-87.0446359,Delta,Delta
"Everett, WA",,,128462,,,,,603944,,10913,,,453770,21729,81043,,Snohomish County,48.0007168,-122.2173022,Snohomish,Snohomish
"Fabens, TX",,,,,,,,,,3380765,,,285001,,,,El Paso County,31.4352601,-106.1422299,El Paso,El Paso
"Fall River, MA",,,28988,,176162,,,453323,,,,,,,14700,,Bristol County,41.7014912,-71.1550451,Bristol,Bristol
"Fargo, ND",,,,,,,,,3044335,,,57168,,,,,Cass County,46.9196105,-96.8181729,Cass,Cass
"Fernandina, FL",,,,,385880,,,,,41179,3480524,544510,4287104,2530156,9219971,3330740,Nassau County,30.6277138,-81.5560669,Nassau,Nassau
"Ferry, WA",,,,,,,,,,,51610,,,29591,69999,,Island County,48.1594884,-122.672507,Island,Island
"Fort Fairfield, ME",,,130089,,,381813,10091814,,,96695,5695639,789879,135130,3629002,3165167,883926,Aroostook County,46.765749,-67.7899427,Aroostook,Aroostook
"Fort Kent, ME",,,28089,,,,,,395955,1249031,213027,,,,,,,47.2482649,-68.6028918,Aroostook,Aroostook
"Fort Myers Airport, FL",2850,,,,,2209,2135,4849,,,,,290258,,3160781,13745,Lee County,26.5337051,-81.7553083,Lee,Lee
"Fort Pierce, FL",,,,,469948,,,,,141763,342611,517457,1867607,867592,2741384,241254,St Lucie County,27.459089,-80.3263458,St. Lucie,St. Lucie
"Fort Worth Alliance Airport, TX",,,,,,,,,,,,7310,,,,,Tarrant County,32.9873898,-97.3140628,Tarrant,Tarrant
"Fortuna, ND",,,2036,,,,,,,134669,122482,,,,,,,48.9985348,-103.8099643,Divide,Divide
"Freeport, TX",,,157945916,,10219000,1456778,3007959,2477,,53784274,59047632,844671,13800911,70188,2849900,924795,Brazoria County,28.9384127,-95.3482611,Brazoria,Brazoria
"Friday Harbor, WA",,,,,,,417942,,,,8426,,,,,,San Juan County,48.5364079,-123.0168624,San Juan,San Juan
"Frontier, WA",,,,,,,,,39945,,647589,20533,,10067,314635,,Stevens County,48.9997086,-117.8316724,Stevens,Stevens
"Ft. Lauderdale International Airport, FL",,,119227,,3339832,,,6228,2921495,,995411,18138,2499145,8899,163187,33724,Broward County,26.0742344,-80.1506022,Broward,Broward
"Galveston, TX",,,125966908,,,,,,135478466,262476667,428180,,8300,,19440,,Galveston County,29.3065514,-94.7970765,Galveston,Galveston
"Georgetown, SC",,,1120,,,,,126220,,,,,,,,,Georgetown County,33.3608856,-79.2926912,Georgetown,Georgetown
"Gloucester City, NJ",,,,,,,,,,,38074,12600,389115,1116482,1435520,223113,Camden County,39.8985678,-75.1265227,Camden,Camden
"Gramercy, LA",,31227406,,,,,54169047,27003,,2543453044,7404269555,439636089,,5297730,143021289,4186269,St James Parish,30.0476399,-90.6899483,St. James,St. James
"Grand Forks, ND",,,,,,,,,,,26236,6260,,,281758,46030,Grand Forks County,47.942861,-97.176582,Grand Forks,Grand Forks
"Grand Portage, MN",,,110263,,424957,,,269761,4001,246831,745288,1206049,6304,927387,455386,,Cook County,48.0000232,-89.5889274,Cook,Cook
"Grand Rapids, MI",,,5808,,,,,,,,,,,,465033,13601,Kent County,42.8847702,-85.5063677,Kent,Kent
