port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,latitude,longitude,county,fips
"Aberdeen-Hoquiam, WA",,,,,774724,,,,,855835,495880116,61668446,18466,13455,307481,,46.9678284,-123.8459739,Grays Harbor,53027
"Aguadilla, PR",,,737641,36104,115758,,196206,,,,,,,,21940,35417,18.4953957,-67.1355779,Aguadilla,72005
"Alameda, CA",,,,,66780,,,,4243,,42886,,,,,,37.7956123,-122.2791662,Alameda,6001
"Albany, NY",,,473,,,,1396324,,,28916517,,,,,117060,,42.6263032,-73.7580336,Albany,36001
"Albuquerque, NM",,,11155,,,,,,,,,,,,,,35.0817626,-106.7345152,Bernalillo,35001
"Alcan, AK",165738,,400476,38691,,,39411,,,46990,,,13045240,,66305,,62.6584334,-141.131215,Southeast Fairbanks,2240
"Alexandria Bay, NY",91880958,1936978,29194415,4272175,9277996,75668533,175473391,20823321,16473975,462122,143918539,17282739,41259514,58472957,165302935,56560625,44.2970513,-75.975928,Jefferson,36045
"Algonac, MI",,,,,,,,,,,35629,,100205,,,,42.6130715,-82.5458297,St. Clair,26147
"Allentown, PA",,,,,,,,,,,,95314,,,41683,,40.6139036,-75.4537958,Lehigh,42077
"Alpena, MI",,,,,,,,,,,,61284,,,,,45.05948,-83.4302844,Alpena,26007
"Amarillo, TX",,,,,,,,,2605,,,,,,,,35.1933101,-101.9127663,Potter,48375
"Ambrose, ND",,,,,,,,,,18538,64242,48835,127946,,13432,,48.9977702,-103.4872681,Divide,38023
"Anacortes, WA",,,,,,,91986,,,,3622,,304140,31597,,,48.521744,-122.612822,Skagit,53057
"Anchorage, AK",5120,,3957438,3467457,6572887,60024,11263952,161194,222312,13628,18869226,75294300,1873579562,1241421,21024010,2650857,61.2402778,-149.8861111,Anchorage,2020
"Annapolis, MD",,,,30051,,,120043,62438,,,,,,,,,38.9635969,-76.478751,Anne Arundel,24003
"Antler, ND",,2246755,2437226,,,,,,,,56296,24099,,,,,48.9984673,-101.298785,Bottineau,38009
"Astoria, OR",,,,,,,98871,,,29871,550647,,930499,243582,,,46.1897701,-123.8572519,Clatsop,41007
"Atlanta, GA",4524717,,36744847,17498888,47224376,421635,19463036,2093410,53102196,193195,8563421,11000980,10886019,808221,53058649,1453062,33.639692,-84.3976466,Clayton,13063
"Atlantic City User Fee Airport, NJ",,,,,,,,,,,,,,,462827,,39.4557779,-74.5725117,Atlantic,34001
"Austin, TX",,,6993,13498,,,19683,,,,11509,3396,40188,3015,9451,,30.2021489,-97.666829,Travis,48453
"Avondale, LA",,,,,,,,,,,,,,,13265452,,29.971767,-90.2823726,St. Charles,22089
"Baltimore, MD",,35172248,741666705,28758630,254539833,46370531,823719541,427001055,,2571089,31307655,22435978,74427784,19786436,93873038,14141006,39.2860063,-76.609661,Baltimore,24510
"Baltimore-Washington International Airport, MD",5390,,124675,103958,420049,7000,69495,,27730,,6687,,347301,,401273,,39.1774042,-76.6683922,Anne Arundel,24003
"Bangor, ME",,,,,,,,,,,41799,,13701,85598,48183,30555,44.8069263,-68.823274,Penobscot,23019
"Bar Harbor, ME",,,,,,,,,,,,,,14753,,,44.41361,-68.24611,Hancock,23009
"Baton Rouge, LA",,,12802,,,,10613190,27600,,265962672,72422066,466851196,,,2727710,,30.4346355,-91.2014966,West Baton Rouge,22121
"Battle Creek, MI",,,,,,,,,,,67151,,86896,13878,120713,,42.3393947,-85.2768713,Calhoun,26025
"Baudette, MN",,,,,,,,73838,,,211134,64033,13648194,125304,409060,220793,48.7176199,-94.5942192,Lake of the Woods,27077
"Beaufort-Morehead City, NC",,,965204,,,,,,,,,,,,34595,,34.7171727,-76.6650988,Carteret,37031
"Beaumont, TX",,,,,,,,26585,,295176467,,,,,,,30.0793963,-94.0923294,Jefferson,48245
"Beecher Falls, VT",,,880477,,,,7174,,,,26774,,4274,,6741,,45.012768,-71.5061018,Essex,50009
"Belfast, ME",,,,,,,,,,13091,8629,,,,,,44.418767,-69.023522,Waldo,23027
"Bellingham, WA",,,8716,5072684,4930075,,,,,186849,3597999,3680012,53609517,523884,498400,731875,48.7574951,-122.4953805,Whatcom,53073
"Blaine, WA",609570,26060239,317327397,299163468,525253797,191269956,326945050,21928199,8851499,27082716,1012538734,65768276,657351635,207567661,470778904,252921569,48.994467,-122.759004,Whatcom,53073
"Boise, ID",,,,,,,,,,,,,,,24740,,43.6116897,-116.2878962,Ada,16001
"Boston, MA",,1749740,10283353,18832252,594292820,14417729,179856500,487797106,,113014,1638012,83795338,91244318,2297101,20948231,465541,42.343651,-71.033022,Suffolk,25025
"Boundary, WA",,,,,,,,,,2665,10104,3873,,,7595,,48.998753,-117.6289533,Stevens,53065
"Bridgeport, CT",,,7855,,,,,,,,,,,,,,41.1750046,-73.1856273,Fairfield,9001
"Bridgewater, ME",,200180,546731,,,,9301435,,,289649,1058748,,147826,103323,21273676,,46.4502092,-67.7861707,Aroostook,23003
"Brownsville, TX",445013,,31549345,9539836,15678902,17526,189839423,151189,4451623,10825865,383664267,26627296,11045927,7517831,120169539,15590173,25.9508669,-97.4109459,Cameron,48061
"Brunswick, GA",,23578448,1369235,,2325,,,32933,,2064741,13867270,274674979,538455,6528950,,,31.131813,-81.5368539,Glynn,13127
"Buffalo-Niagara Falls, NY",76755248,91101613,726354465,253875804,423029349,886986120,974321777,127189948,19372657,9682290,1079155274,192998464,363916937,408963254,1212037235,277323424,43.130626,-79.041359,Niagara,36063
"Burlington, VT",,,,,,,,,,,69485,,,,265450,4504,44.474218,-73.221388,Chittenden,50007
"Butte, MT",,,,,,,,,,,,,,,25820,9539,46.0010698,-112.6711893,Silver Bow,30093
"Calais, ME",160446,,43721271,29341727,767749695,2073396,51201075,14699491,300672,54353,54362664,10114957,178729165,2855670,26971886,3684693,45.1613254,-67.2990189,Washington,23029
"Calexico, CA",,,,,,,,,,37809122,24541087,6399046,19510363,2441670,23060690,12261840,32.6651897,-115.496081,Imperial,6025
"Calexico-East, CA",,6017302,357125253,3312540,168263916,191629679,169270621,63219540,12728,30270831,169937558,16590789,90860163,48029586,110861624,24890093,32.6655684,-115.499288,Imperial,6025
"Camden, NJ",,,,,,,28838,,,,2147156,,,87711,396867,,39.9376731,-75.1292216,Camden,34007
"Cape Vincent, NY",,,,,,,,,,,125923,79782,,9934,7211,,44.1289552,-76.3381761,Jefferson,36045
"Carbury, ND",,,1333539,,,,,,,,,5660,,104105,,,48.9976327,-100.5562352,Bottineau,38009
"Champlain-Rouses Point, NY",7686511,15521927,216693518,65397739,403431250,88639720,350224058,40351235,31345107,2545175,455575114,41988453,161140739,55327974,388795387,37663129,45.0009143,-73.3677438,Clinton,36019
"Charleston, SC",,18579721,803461034,117813852,40414873,58260367,232581751,216168713,1092905,3763263,415258000,111012879,340369689,58447425,229971607,424337326,32.7708321,-79.8968733,Charleston,45019
"Charlotte Amalie, VI",,,532681,,329823,199266,796651,15473115,,,,,,,99577,703618,18.3384508,-64.9397081,St. Thomas,78030
"Charlotte, NC",4400,,1223471,3744521,1210229,11962,730624,3616,,,2188221,329706,2952,26283,1502869,23341,35.2717325,-80.9094967,Mecklenburg,37119
"Chester, PA",,,140340540,6711249,3610151,17448380,251447580,21719868,38450090,1217140,979546,668915,39060,441552,35407887,640423,39.8524144,-75.3419458,Delaware,42045
"Chicago, IL",19289876,4592292,77341215,102538208,60236291,50695614,204203502,55829406,167562221,3428933,16185870,87615771,46550406,5734312,135903290,7083446,41.7287385,-87.5334615,Cook,17031
"Christiansted, VI",,,456726,,92654,124641,24382523,2927142,,,,,,,,109521,17.7469291,-64.7075146,St. Croix,78010
"Cincinnati-Lawrenceburg, OH",,3873,1007867,4030825,24611,94490,1035848,16462330,70581203,16400,394454,513957,,25927,2483538,652592,39.099814,-84.511977,Hamilton,39061
"Cleveland, OH",4395,250418,19510713,18967949,127167,133888,11420059,1308112,2409908,24816,31824866,9644438,793893,959008,10221149,3935174,41.5014293,-81.7028655,Cuyahoga,39035
"Columbia, SC",,,650,,,,6500,451279,,,,,,,,,33.944432,-81.1095231,Lexington,45063
"Columbus, NM",9676478,446102,36134242,,,97300,11330,,,,584660,93155,,,,,31.7844155,-107.6276544,Luna,35029
"Columbus, OH",,,156076,7698300,31248,93561,407010,19786,,,33434,8039,2759,,27493,,39.9999399,-82.8871767,Franklin,39049
"Coos Bay, OR",,,,,,,,,,,295136,,,,,46440,43.367748,-124.213429,Coos,41011
"Coral Bay, VI",,,,,,,,,,,11461,4564,26946,4838,19530,9854,18.3320603,-64.7945631,St. John,78020
