port,latitude,longitude,county,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8
"Aberdeen-Hoquiam, WA",46.96783,-123.84597,Grays Harbor,,,,,774724,,,,,855835,495880116,61668446,18466,13455,307481,
"Aguadilla, PR",18.4954,-67.13558,Aguadilla,,,737641,36104,115758,,196206,,,,,,,,21940,35417
"Alameda, CA",37.79561,-122.27917,Alameda,,,,,66780,,,,4243,,42886,,,,,
"Albany, NY",42.6263,-73.75803,Albany,,,473,,,,1396324,,,28916517,,,,,117060,
"Albuquerque, NM",35.08176,-106.73452,Bernalillo,,,11155,,,,,,,,,,,,,
"Alcan, AK",62.65843,-141.13121,Southeast Fairbanks,165738,,400476,38691,,,39411,,,46990,,,13045240,,66305,
"Alexandria Bay, NY",44.29705,-75.97593,Jefferson,91880958,1936978,29194415,4272175,9277996,75668533,175473391,20823321,16473975,462122,143918539,17282739,41259514,58472957,165302935,56560625
"Algonac, MI",42.61307,-82.54583,St. Clair,,,,,,,,,,,35629,,100205,,,
"Allentown, PA",40.6139,-75.4538,Lehigh,,,,,,,,,,,,95314,,,41683,
"Alpena, MI",45.05948,-83.43028,Alpena,,,,,,,,,,,,61284,,,,
"Amarillo, TX",35.19331,-101.91277,Potter,,,,,,,,,2605,,,,,,,
"Ambrose, ND",48.99777,-103.48727,Divide,,,,,,,,,,18538,64242,48835,127946,,13432,
"Anchorage, AK",61.24028,-149.88611,Anchorage,5120,,3957438,3467457,6572887,60024,11263952,161194,222312,13628,18869226,75294300,1873579562,1241421,21024010,2650857
"Annapolis, MD",38.9636,-76.47875,Anne Arundel,,,,30051,,,120043,62438,,,,,,,,
"Antler, ND",48.99847,-101.29878,Bottineau,,2246755,2437226,,,,,,,,56296,24099,,,,
"Astoria, OR",46.18977,-123.85725,Clatsop,,,,,,,98871,,,29871,550647,,930499,243582,,
"Atlanta, GA",33.63969,-84.39765,Clayton,4524717,,36744847,17498888,47224376,421635,19463036,2093410,53102196,193195,8563421,11000980,10886019,808221,53058649,1453062
"Atlantic City User Fee Airport, NJ",39.45578,-74.57251,Atlantic,,,,,,,,,,,,,,,462827,
"Austin, TX",30.20215,-97.66683,Travis,,,6993,13498,,,19683,,,,11509,3396,40188,3015,9451,
"Avondale, LA",29.97177,-90.28237,St. Charles,,,,,,,,,,,,,,,13265452,
"Baltimore, MD",39.28601,-76.60966,Baltimore,,35172248,741666705,28758630,254539833,46370531,823719541,427001055,,2571089,31307655,22435978,74427784,19786436,93873038,14141006
"Baltimore-Washington International Airport, MD",39.1774,-76.66839,Anne Arundel,5390,,124675,103958,420049,7000,69495,,27730,,6687,,347301,,401273,
"Bangor, ME",44.80693,-68.82327,Penobscot,,,,,,,,,,,41799,,13701,85598,48183,30555
"Baton Rouge, LA",30.43464,-91.2015,West Baton Rouge,,,12802,,,,10613190,27600,,265962672,72422066,466851196,,,2727710,
"Battle Creek, MI",42.33939,-85.27687,Calhoun,,,,,,,,,,,67151,,86896,13878,120713,
"Baudette, MN",48.71762,-94.59422,Lake of the Woods,,,,,,,,73838,,,211134,64033,13648194,125304,409060,220793
"Beaufort-Morehead City, NC",34.71717,-76.6651,Carteret,,,965204,,,,,,,,,,,,34595,
"Beaumont, TX",30.0794,-94.09233,Jefferson,,,,,,,,26585,,295176467,,,,,,
"Beecher Falls, VT",45.01277,-71.5061,Essex,,,880477,,,,7174,,,,26774,,4274,,6741,
"Belfast, ME",44.41877,-69.02352,Waldo,,,,,,,,,,13091,8629,,,,,
"Bellingham, WA",48.7575,-122.49538,Whatcom,,,8716,5072684,4930075,,,,,186849,3597999,3680012,53609517,523884,498400,731875
"Blaine, WA",48.99447,-122.759,Whatcom,609570,26060239,317327397,299163468,525253797,191269956,326945050,21928199,8851499,27082716,1012538734,65768276,657351635,207567661,470778904,252921569
"Boise, ID",43.61169,-116.2879,Ada,,,,,,,,,,,,,,,24740,
"Boston, MA",42.34365,-71.03302,Suffolk,,1749740,10283353,18832252,594292820,14417729,179856500,487797106,,113014,1638012,83795338,91244318,2297101,20948231,465541
"Boundary, WA",48.99875,-117.62895,Stevens,,,,,,,,,,2665,10104,3873,,,7595,
